Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
8 BASSEIN,BASSEIN ROAD,11,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jun-24
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jun-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,2,"7,400",100 to 110,"1,000 to 1,100",Jun-24
THE AXIS,MANDALAY ROAD,11,Non-Landed Properties,1,"2,700",30 to 40,300 to 400,Jun-24
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Jun-24
AMARYLLIS VILLE,NEWTON ROAD,11,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Jun-24
368 THOMSON,THOMSON ROAD,11,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Jun-24
VIVA,SUFFOLD WALK,11,Non-Landed Properties,3,"8,500",140 to 150,"1,500 to 1,600",Jun-24
THE GLYNDEBOURNE,TREVOSE CRESCENT,11,Non-Landed Properties,3,"8,000",150 to 160,"1,600 to 1,700",Jun-24
MONTEBLEU,MINBU ROAD,11,Non-Landed Properties,4,"6,700",130 to 140,"1,400 to 1,500",Jun-24
NEWTON 18,NEWTON ROAD,11,Non-Landed Properties,2,"4,538",80 to 90,"900 to 1,000",Jun-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,NA,"3,818",40 to 50,500 to 600,Jun-24
THOMSON 800,THOMSON ROAD,11,Non-Landed Properties,3,"4,900",130 to 140,"1,300 to 1,400",Jun-24
LINCOLN SUITES,KHIANG GUAN AVENUE,11,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Jun-24
TRILIGHT,NEWTON ROAD,11,Non-Landed Properties,3,"9,500",190 to 200,"2,000 to 2,100",Jun-24
ADAM PLACE,ADAM ROAD,11,Non-Landed Properties,NA,"3,700",90 to 100,"900 to 1,000",Jun-24
NEWTON GEMS,NEWTON ROAD,11,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jun-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,2,"8,000",100 to 110,"1,000 to 1,100",Jun-24
8 BASSEIN,BASSEIN ROAD,11,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jun-24
SHELFORD 23,SHELFORD ROAD,11,Non-Landed Properties,3,"5,200",110 to 120,"1,200 to 1,300",Jun-24
THE SPRINGS,MOULMEIN RISE,11,Non-Landed Properties,3,"5,400",200 to 210,"2,100 to 2,200",Jun-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,NA,"3,800",50 to 60,500 to 600,Jun-24
GILSTEAD TWO,GILSTEAD ROAD,11,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Jun-24
10 SHELFORD,SHELFORD ROAD,11,Non-Landed Properties,1,"2,800",50 to 60,500 to 600,Jun-24
THE LINCOLN MODERN,LINCOLN ROAD,11,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Jun-24
MONTEBLEU,MINBU ROAD,11,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Jun-24
LA MAISON,MOULMEIN RISE,11,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Jun-24
THE LINC,LINCOLN ROAD,11,Non-Landed Properties,2,"4,225",80 to 90,"900 to 1,000",Jun-24
BIRMINGHAM MANSIONS,THOMSON ROAD,11,Non-Landed Properties,3,"4,800",90 to 100,"1,000 to 1,100",Jun-24
STRATA,ESSEX ROAD,11,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Jun-24
THE GLYNDEBOURNE,TREVOSE CRESCENT,11,Non-Landed Properties,2,"5,100",90 to 100,"1,000 to 1,100",Jun-24
SOLEIL @ SINARAN,SINARAN DRIVE,11,Non-Landed Properties,3,"8,000",130 to 140,"1,400 to 1,500",Jun-24
HILLCREST ARCADIA,ARCADIA ROAD,11,Non-Landed Properties,4,"8,000",260 to 270,"2,800 to 2,900",Jun-24
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,2,"4,000",80 to 90,800 to 900,Jun-24
THE SPINNAKER,SUFFOLK ROAD,11,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Jun-24
TRILIGHT,NEWTON ROAD,11,Non-Landed Properties,2,"6,400",100 to 110,"1,000 to 1,100",Jun-24
THOMSON 800,THOMSON ROAD,11,Non-Landed Properties,3,"5,300",150 to 160,"1,600 to 1,700",Jun-24
GILSTEAD TWO,GILSTEAD ROAD,11,Non-Landed Properties,2,"4,600",80 to 90,"900 to 1,000",Jun-24
MINBU VILLA,MINBU ROAD,11,Non-Landed Properties,3,"6,500",210 to 220,"2,300 to 2,400",Jun-24
CHANCERY COURT,DUNEARN ROAD,11,Non-Landed Properties,NA,"3,900",70 to 80,800 to 900,Jun-24
CHANCERY ESQUIRE,CHANCERY LANE,11,Non-Landed Properties,2,"4,400",90 to 100,"1,000 to 1,100",Jun-24
EVELYN MANSIONS,EVELYN ROAD,11,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jun-24
SKY@ELEVEN,THOMSON LANE,11,Non-Landed Properties,4,"9,100",210 to 220,"2,200 to 2,300",Jun-24
NON-LANDED HOUSING DEVELOPMENT,NEWTON ROAD,11,Non-Landed Properties,3,"7,000",160 to 170,"1,700 to 1,800",Jun-24
THOMSON EURO-ASIA,THOMSON ROAD,11,Non-Landed Properties,2,"4,800",80 to 90,"900 to 1,000",Jun-24
NINETEEN SHELFORD ROAD,SHELFORD ROAD,11,Non-Landed Properties,1,"3,600",60 to 70,600 to 700,Jun-24
PARK INFINIA AT WEE NAM,LINCOLN ROAD,11,Non-Landed Properties,2,"6,500",100 to 110,"1,100 to 1,200",Jun-24
26 NEWTON,NEWTON ROAD,11,Non-Landed Properties,2,"3,600",50 to 60,600 to 700,Jun-24
368 THOMSON,THOMSON ROAD,11,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jun-24
EVELYN MANSIONS,EVELYN ROAD,11,Non-Landed Properties,2,"4,150",80 to 90,800 to 900,Jun-24
