Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE LUCENT,LORONG N TELOK KURAU,15,Non-Landed Properties,2,"3,400",70 to 80,800 to 900,Apr-26
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,3,"6,800",130 to 140,"1,400 to 1,500",Apr-26
PARC SEABREEZE,JOO CHIAT ROAD,15,Non-Landed Properties,4,"7,000",140 to 150,"1,500 to 1,600",Apr-26
NON-LANDED HOUSING DEVELOPMENT,BURNFOOT TERRACE,15,Non-Landed Properties,NA,"4,000",100 to 110,"1,100 to 1,200",Apr-26
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,4,"8,000",150 to 160,"1,600 to 1,700",Apr-26
LEVILLE ISUITES,CEYLON ROAD,15,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Apr-26
WORTHINGTON,BUTTERWORTH LANE,15,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Apr-26
GARDEN PARK RESIDENCES,LORONG M TELOK KURAU,15,Non-Landed Properties,4,"4,650",120 to 130,"1,300 to 1,400",Apr-26
77 @ EAST COAST,UPPER EAST COAST ROAD,15,Non-Landed Properties,1,"2,800",30 to 40,400 to 500,Apr-26
THE VESTA,LORONG K TELOK KURAU,15,Non-Landed Properties,2,"3,250",60 to 70,600 to 700,Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,3,"6,300",90 to 100,"900 to 1,000",Apr-26
AMBER RESIDENCES,AMBER ROAD,15,Non-Landed Properties,2,"5,500",100 to 110,"1,100 to 1,200",Apr-26
THE CAPE,AMBER ROAD,15,Non-Landed Properties,2,"5,400",90 to 100,"900 to 1,000",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,NA,"6,600",100 to 110,"1,100 to 1,200",Apr-26
LAGUNA PARK,MARINE PARADE ROAD,15,Non-Landed Properties,NA,"4,300",150 to 160,"1,600 to 1,700",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,NA,"3,700",40 to 50,500 to 600,Apr-26
ST PATRICK'S RESIDENCES,ST. PATRICK'S ROAD,15,Non-Landed Properties,4,"8,000",310 to 320,"3,300 to 3,400",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,3,"7,000",100 to 110,"1,100 to 1,200",Apr-26
SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,15,Non-Landed Properties,2,"5,300",90 to 100,"1,000 to 1,100",Apr-26
SYCAMORE TREE,FOWLIE ROAD,15,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,4,"8,500",130 to 140,"1,400 to 1,500",Apr-26
FLAMINGO VALLEY,SIGLAP ROAD,15,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Apr-26
TEMBUSU GRAND,JALAN TEMBUSU,15,Non-Landed Properties,2,"4,800",60 to 70,700 to 800,Apr-26
THE SEAFRONT ON MEYER,MEYER ROAD,15,Non-Landed Properties,2,"5,200",90 to 100,"1,000 to 1,100",Apr-26
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",Apr-26
FORT GARDENS,FORT ROAD,15,Non-Landed Properties,NA,"4,000",80 to 90,"900 to 1,000",Apr-26
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,1,"4,000",70 to 80,800 to 900,Apr-26
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Apr-26
