Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,550",40 to 50,400 to 500,Jun-24
MYRA,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jun-24
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Jun-24
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jun-24
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,3,"4,800",80 to 90,"900 to 1,000",Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,450",50 to 60,600 to 700,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,350",40 to 50,400 to 500,Jun-24
INTERO,LEICESTER ROAD,13,Non-Landed Properties,3,"4,700",90 to 100,"1,000 to 1,100",Jun-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Jun-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Jun-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jun-24
PLATINUM EDGE,LEICESTER ROAD,13,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jun-24
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jun-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jun-24
SANT RITZ,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,100",40 to 50,500 to 600,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,3,"6,500",90 to 100,"900 to 1,000",Jun-24
PARC ASTON,LEICESTER ROAD,13,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Jun-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,700",110 to 120,"1,100 to 1,200",Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"3,500",50 to 60,500 to 600,Jun-24
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"3,600",60 to 70,700 to 800,Jun-24
EURO-ASIA PARK,WOODLEIGH CLOSE,13,Non-Landed Properties,2,"3,200",80 to 90,800 to 900,Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Jun-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jun-24
CASA MEYA,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,100",70 to 80,800 to 900,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Jun-24
PARC MONDRIAN,WOODLEIGH CLOSE,13,Non-Landed Properties,3,"4,900",110 to 120,"1,100 to 1,200",Jun-24
MYRA,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,1,"3,150",40 to 50,400 to 500,Jun-24
AVON PARK,YOUNGBERG TERRACE,13,Non-Landed Properties,4,"7,600",200 to 210,"2,100 to 2,200",Jun-24
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,250",50 to 60,500 to 600,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,3,"6,100",90 to 100,"900 to 1,000",Jun-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,3,"4,800",90 to 100,"1,000 to 1,100",Jun-24
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,2,"3,700",70 to 80,700 to 800,Jun-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,400",60 to 70,600 to 700,Jun-24
WOODSVILLE MANSIONS,WOODSVILLE CLOSE,13,Non-Landed Properties,3,"4,200",120 to 130,"1,300 to 1,400",Jun-24
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,850",40 to 50,400 to 500,Jun-24
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,4,"7,200",120 to 130,"1,300 to 1,400",Jun-24
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,250",40 to 50,400 to 500,Jun-24
ONE LEICESTER,LEICESTER ROAD,13,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Jun-24
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Jun-24
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,4,"10,000",110 to 120,"1,200 to 1,300",Jun-24
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Jun-24
MYRA,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jun-24
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jun-24
