Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
WOODHAVEN,"1,847,970","1,173.28","1,575",May-26,WOODGROVE AVENUE,Resale,Strata,109,"16,954",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
CASABLANCA,"1,280,000","1,119.46","1,143",May-26,ROSEWOOD DRIVE,Resale,Strata,104,"12,308",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15
NORWOOD GRAND,"2,778,000","1,334.74","2,081",May-26,CHAMPIONS WAY,New Sale,Strata,124,"22,403",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,11 to 15
NORWOOD GRAND,"2,668,000","1,313.21","2,032",May-26,CHAMPIONS WAY,New Sale,Strata,122,"21,869",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,01 to 05
ROSEWOOD,"1,320,000","1,173.28","1,125",May-26,ROSEWOOD DRIVE,Resale,Strata,109,"12,110",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,752,000","1,334.74","2,062",May-26,CHAMPIONS WAY,New Sale,Strata,124,"22,194",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
CASABLANCA,"1,380,000","1,184.04","1,166",May-26,ROSEWOOD DRIVE,Resale,Strata,110,"12,545",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,06 to 10
ROSEWOOD,"1,280,000","1,173.28","1,091",May-26,ROSEWOOD DRIVE,Resale,Strata,109,"11,743",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10
WOODHAVEN,"1,805,940","1,173.28","1,539",May-26,WOODGROVE AVENUE,Resale,Strata,109,"16,568",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PARC ROSEWOOD,"660,000",430.56,"1,533",May-26,ROSEWOOD DRIVE,Resale,Strata,40,"16,500",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,786,000","1,313.21","2,122",May-26,CHAMPIONS WAY,New Sale,Strata,122,"22,836",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,11 to 15
PARC ROSEWOOD,"1,680,000","1,625.36","1,034",Apr-26,ROSEWOOD DRIVE,Resale,Strata,151,"11,126",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
NORWOOD GRAND,"2,712,000","1,334.74","2,032",Apr-26,CHAMPIONS WAY,New Sale,Strata,124,"21,871",-,Apartment,1,99 yrs lease commencing from 2023,25,Outside Central Region,06 to 10
CASABLANCA,"996,000",893.41,"1,115",Apr-26,ROSEWOOD DRIVE,Resale,Strata,83,"12,000",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,11 to 15
PARC ROSEWOOD,"693,888",527.44,"1,316",Apr-26,ROSEWOOD DRIVE,Resale,Strata,49,"14,161",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PARC ROSEWOOD,"1,930,000","2,325.02",830,Apr-26,ROSEWOOD DRIVE,Resale,Strata,216,"8,935",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PARC ROSEWOOD,"658,000",430.56,"1,528",Apr-26,ROSEWOOD DRIVE,Resale,Strata,40,"16,450",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PARC ROSEWOOD,"1,645,000","1,765.3",932,Apr-26,ROSEWOOD DRIVE,Resale,Strata,164,"10,030",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
CASABLANCA,"1,270,000","1,194.8","1,063",Apr-26,ROSEWOOD DRIVE,Resale,Strata,111,"11,441",-,Condominium,1,99 yrs lease commencing from 2001,25,Outside Central Region,01 to 05
ROSEWOOD,"1,600,000","1,474.67","1,085",Apr-26,ROSEWOOD DRIVE,Resale,Strata,137,"11,679",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,06 to 10
PARC ROSEWOOD,"900,000",775.01,"1,161",Apr-26,ROSEWOOD DRIVE,Resale,Strata,72,"12,500",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
THE WOODGROVE,"968,000","1,033.34",937,Apr-26,WOODGROVE DRIVE,Resale,Strata,96,"10,083",-,Apartment,1,99 yrs lease commencing from 1996,25,Outside Central Region,06 to 10
WOODHAVEN,"1,600,000","1,173.28","1,364",Mar-26,WOODGROVE AVENUE,Resale,Strata,109,"14,679",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
PARC ROSEWOOD,"680,000",527.44,"1,289",Mar-26,ROSEWOOD DRIVE,Resale,Strata,49,"13,878",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
WOODHAVEN,"1,650,000","1,173.28","1,406",Mar-26,WOODGROVE AVENUE,Resale,Strata,109,"15,138",-,Condominium,1,99 yrs lease commencing from 2011,25,Outside Central Region,01 to 05
