Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Apr-26
HOLLAND PEAK,HOLLAND HILL,10,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Apr-26
ANGULLIA PARK RESIDENCES @ ORCHARD,CUSCADEN WALK,10,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Apr-26
FIFTY-TWO STEVENS,STEVENS ROAD,10,Non-Landed Properties,1,"3,200",90 to 100,"900 to 1,000",Apr-26
CUSCADEN RESERVE,CUSCADEN ROAD,10,Non-Landed Properties,1,"6,200",60 to 70,600 to 700,Apr-26
LATITUDE,JALAN MUTIARA,10,Non-Landed Properties,2,"9,000",120 to 130,"1,300 to 1,400",Apr-26
THE TESSARINA,WILBY ROAD,10,Non-Landed Properties,3,"6,200",120 to 130,"1,300 to 1,400",Apr-26
POLLEN & BLEU,FARRER DRIVE,10,Non-Landed Properties,2,"8,400",190 to 200,"2,000 to 2,100",Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
ONE JERVOIS,JERVOIS CLOSE,10,Non-Landed Properties,3,"6,200",120 to 130,"1,300 to 1,400",Apr-26
THE BALMORAL,BALMORAL PARK,10,Non-Landed Properties,4,"8,500",280 to 290,"3,000 to 3,100",Apr-26
ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,10,Non-Landed Properties,3,"10,000",140 to 150,"1,500 to 1,600",Apr-26
BALMORAL CREST,BALMORAL CRESCENT,10,Non-Landed Properties,3,"9,300",220 to 230,"2,400 to 2,500",Apr-26
ORCHARD BEL AIR,ORCHARD BOULEVARD,10,Non-Landed Properties,NA,"11,200",300 to 310,"3,200 to 3,300",Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"6,800",110 to 120,"1,200 to 1,300",Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,4,"10,000",170 to 180,"1,900 to 2,000",Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Apr-26
WATERFALL GARDENS,FARRER ROAD,10,Non-Landed Properties,3,"8,000",170 to 180,"1,800 to 1,900",Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"9,500",160 to 170,"1,700 to 1,800",Apr-26
JERVOIS MANSION,JERVOIS CLOSE,10,Non-Landed Properties,4,"10,800",130 to 140,"1,400 to 1,500",Apr-26
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,4,"10,500",170 to 180,"1,900 to 2,000",Apr-26
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-Landed Properties,3,"9,736",250 to 260,"2,700 to 2,800",Apr-26
ZENITH,ZION ROAD,10,Non-Landed Properties,1,"3,750",50 to 60,500 to 600,Apr-26
THE ARC AT DRAYCOTT,DRAYCOTT DRIVE,10,Non-Landed Properties,2,"6,200",100 to 110,"1,100 to 1,200",Apr-26
SAGE,NASSIM ROAD,10,Non-Landed Properties,4,"20,000",260 to 270,"2,800 to 2,900",Apr-26
GOODWOOD RESIDENCE,BUKIT TIMAH ROAD,10,Non-Landed Properties,4,"15,800",230 to 240,"2,500 to 2,600",Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Apr-26
SOMMERVILLE PARK,FARRER DRIVE,10,Non-Landed Properties,3,"8,000",170 to 180,"1,800 to 1,900",Apr-26
BOULEVARD 88,ORCHARD BOULEVARD,10,Non-Landed Properties,2,"10,000",120 to 130,"1,300 to 1,400",Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"6,800",120 to 130,"1,300 to 1,400",Apr-26
MELROSE PARK,KELLOCK ROAD,10,Non-Landed Properties,3,"6,800",120 to 130,"1,300 to 1,400",Apr-26
BOTANIC GARDENS VIEW,TAMAN SERASI,10,Non-Landed Properties,3,"6,400",130 to 140,"1,400 to 1,500",Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,400",60 to 70,700 to 800,Apr-26
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-Landed Properties,3,"10,000",300 to 310,"3,200 to 3,300",Apr-26
3 CUSCADEN,CUSCADEN WALK,10,Non-Landed Properties,2,"6,900",70 to 80,700 to 800,Apr-26
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Apr-26
CUSCADEN RESIDENCES,CUSCADEN ROAD,10,Non-Landed Properties,2,"8,500",130 to 140,"1,400 to 1,500",Apr-26
LEEDON RESIDENCE,LEEDON HEIGHTS,10,Non-Landed Properties,3,"15,000",190 to 200,"2,100 to 2,200",Apr-26
GALLOP GABLES,FARRER ROAD,10,Non-Landed Properties,3,"7,500",160 to 170,"1,700 to 1,800",Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,300",70 to 80,800 to 900,Apr-26
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,900",70 to 80,700 to 800,Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,600",100 to 110,"1,000 to 1,100",Apr-26
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Apr-26
THE MERCURY,SHANGHAI ROAD,10,Non-Landed Properties,1,"3,650",50 to 60,600 to 700,Apr-26
ORCHARD BEL AIR,ORCHARD BOULEVARD,10,Non-Landed Properties,NA,"11,500",300 to 310,"3,200 to 3,300",Apr-26
ROCHALIE RESIDENCES,ROCHALIE DRIVE,10,Non-Landed Properties,4,"13,900",200 to 210,"2,200 to 2,300",Apr-26
THE MONTANA,JALAN MUTIARA,10,Non-Landed Properties,1,"3,200",60 to 70,600 to 700,Apr-26
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"2,800",30 to 40,300 to 400,Apr-26
RIDGEWOOD,MOUNT SINAI DRIVE,10,Non-Landed Properties,3,"5,000",150 to 160,"1,600 to 1,700",Apr-26
ONE HOLLAND VILLAGE RESIDENCES,HOLLAND VILLAGE WAY,10,Non-Landed Properties,2,"5,200",70 to 80,700 to 800,Apr-26
120 GRANGE,GRANGE ROAD,10,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Apr-26
LOFT @ NATHAN,NATHAN ROAD,10,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
THE ASTON,KAY POH ROAD,10,Non-Landed Properties,1,"3,400",60 to 70,600 to 700,Apr-26
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,2,"5,600",90 to 100,"1,000 to 1,100",Apr-26
LIBERTE,SARKIES ROAD,10,Non-Landed Properties,2,"4,600",70 to 80,700 to 800,Apr-26
RIDGEWOOD,RIDGEWOOD CLOSE,10,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Apr-26
VILLA DELLE ROSE,TAMAN NAKHODA,10,Non-Landed Properties,3,"11,600",310 to 320,"3,300 to 3,400",Apr-26
JERVOIS MANSION,JERVOIS CLOSE,10,Non-Landed Properties,1,"4,300",40 to 50,400 to 500,Apr-26
