Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,3,"5,600",100 to 110,"1,100 to 1,200",Apr-26
ONE DUSUN RESIDENCES,JALAN DUSUN,12,Non-Landed Properties,2,"3,100",40 to 50,400 to 500,Apr-26
AVA TOWERS,AVA ROAD,12,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Apr-26
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Apr-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,3,"4,750",80 to 90,"900 to 1,000",Apr-26
VERTICUS,JALAN KEMAMAN,12,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
SUITES @ TOPAZ,TOPAZ ROAD,12,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Apr-26
THE CITRINE,JALAN DATOH,12,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Apr-26
IRESIDENCES,IRRAWADDY ROAD,12,Non-Landed Properties,2,"4,600",90 to 100,"1,000 to 1,100",Apr-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Apr-26
THE VIRIDIAN,JALAN AMPAS,12,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
SHAW PLAZA - TWIN HEIGHTS,BALESTIER ROAD,12,Non-Landed Properties,3,"5,250",130 to 140,"1,400 to 1,500",Apr-26
PRESTIGE HEIGHTS,BALESTIER ROAD,12,Non-Landed Properties,NA,"2,400",30 to 40,300 to 400,Apr-26
ASCENT @ 456,BALESTIER ROAD,12,Non-Landed Properties,3,"3,600",60 to 70,600 to 700,Apr-26
SKYSUITES17,JALAN RAJAH,12,Non-Landed Properties,2,"3,700",60 to 70,600 to 700,Apr-26
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Apr-26
VA RESIDENCES,BOON TECK ROAD,12,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Apr-26
GLOBAL VILLE,JALAN RAJA UDANG,12,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Apr-26
TREVISTA,LORONG 3 TOA PAYOH,12,Non-Landed Properties,1,"3,550",60 to 70,600 to 700,Apr-26
TREVISTA,LORONG 3 TOA PAYOH,12,Non-Landed Properties,3,"5,700",110 to 120,"1,200 to 1,300",Apr-26
THE ARTE,JALAN RAJA UDANG,12,Non-Landed Properties,3,"6,200",130 to 140,"1,300 to 1,400",Apr-26
GEM RESIDENCES,LORONG 5 TOA PAYOH,12,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
TRELLIS TOWERS,LORONG 1 TOA PAYOH,12,Non-Landed Properties,2,"3,350",60 to 70,700 to 800,Apr-26
CITY SUITES,BALESTIER ROAD,12,Non-Landed Properties,1,"2,950",40 to 50,400 to 500,Apr-26
BALESTIER POINT,BALESTIER ROAD,12,Non-Landed Properties,3,"3,700",120 to 130,"1,300 to 1,400",Apr-26
OLEANDER TOWERS,LORONG 1 TOA PAYOH,12,Non-Landed Properties,3,"4,500",100 to 110,"1,100 to 1,200",Apr-26
THE VIRIDIAN,JALAN AMPAS,12,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,2,"3,950",60 to 70,600 to 700,Apr-26
THE VERVE,JALAN RAJAH,12,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,Apr-26
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
THE MARQUE @ IRRAWADDY,SHAN ROAD,12,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Apr-26
NOVA 48,PROME ROAD,12,Non-Landed Properties,3,"5,000",100 to 110,"1,000 to 1,100",Apr-26
CRADELS,LORONG LIMAU,12,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Apr-26
EIGHT RIVERSUITES,WHAMPOA EAST,12,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Apr-26
THE INTERWEAVE,KIM KEAT ROAD,12,Non-Landed Properties,NA,"2,600",30 to 40,300 to 400,Apr-26
GALLERY FIFTEEN,JALAN DUSUN,12,Non-Landed Properties,3,"5,280",130 to 140,"1,400 to 1,500",Apr-26
MOONSTONE RESIDENCES,MOONSTONE LANE,12,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
VISTA RESIDENCES,JALAN DATOH,12,Non-Landed Properties,3,"5,500",100 to 110,"1,100 to 1,200",Apr-26
CHELSEA GROVE,MARTABAN ROAD,12,Non-Landed Properties,2,"4,200",90 to 100,"900 to 1,000",Apr-26
THE INTERWEAVE,KIM KEAT ROAD,12,Non-Landed Properties,1,"2,600",30 to 40,300 to 400,Apr-26
