Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
AVENUE SOUTH RESIDENCE,"3,660,000","1,496.2","2,446",May-26,SILAT AVENUE,Resale,Strata,139,"26,331",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,51 to 55
MARGARET VILLE,"2,368,000",968.76,"2,444",May-26,MARGARET DRIVE,Resale,Strata,90,"26,311",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
STIRLING RESIDENCES,"1,510,000",635.08,"2,378",May-26,STIRLING ROAD,Resale,Strata,59,"25,593",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
ALEX RESIDENCES,"2,238,412",925.7,"2,418",May-26,ALEXANDRA VIEW,Resale,Strata,86,"26,028",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
ARTRA,"1,949,000",785.77,"2,480",May-26,ALEXANDRA VIEW,Resale,Strata,73,"26,699",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,21 to 25
PENRITH,"1,793,000",613.55,"2,922",May-26,MARGARET DRIVE,New Sale,Strata,57,"31,456",-,Apartment,1,99 yrs lease commencing from 2024,03,Rest of Central Region,31 to 35
ALESSANDREA,"2,200,000","1,097.93","2,004",May-26,ALEXANDRA ROAD,Resale,Strata,102,"21,569",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
ECHELON,"2,138,888",861.12,"2,484",May-26,ALEXANDRA VIEW,Resale,Strata,80,"26,736",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,36 to 40
MARGARET VILLE,"1,638,000",699.66,"2,341",May-26,MARGARET DRIVE,Resale,Strata,65,"25,200",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
AVENUE SOUTH RESIDENCE,"2,170,000","1,001.05","2,168",May-26,SILAT AVENUE,Resale,Strata,93,"23,333",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,170,888",505.91,"2,314",May-26,STIRLING ROAD,Resale,Strata,47,"24,913",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
THE ANCHORAGE,"3,320,000","1,506.96","2,203",May-26,ALEXANDRA ROAD,Resale,Strata,140,"23,714",-,Condominium,1,Freehold,03,Rest of Central Region,11 to 15
COMMONWEALTH TOWERS,"2,300,000",904.18,"2,544",May-26,COMMONWEALTH AVENUE,Resale,Strata,84,"27,381",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,21 to 25
MERAPRIME,"3,020,000","1,313.21","2,300",May-26,JALAN BUKIT HO SWEE,Resale,Strata,122,"24,754",-,Condominium,1,99 yrs lease commencing from 2003,03,Rest of Central Region,06 to 10
COMMONWEALTH TOWERS,"945,000",462.85,"2,042",May-26,COMMONWEALTH AVENUE,Resale,Strata,43,"21,977",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"1,160,000",505.91,"2,293",May-26,STIRLING ROAD,Resale,Strata,47,"24,681",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,510,000",656.6,"2,300",May-26,STIRLING ROAD,Resale,Strata,61,"24,754",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,11 to 15
STIRLING RESIDENCES,"3,300,000","1,345.5","2,453",May-26,STIRLING ROAD,Resale,Strata,125,"26,400",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,01 to 05
ZYON GRAND,"2,746,000",818.06,"3,357",May-26,KIM SENG ROAD,New Sale,Strata,76,"36,132",-,Apartment,1,99 yrs lease commencing from 2024,03,Rest of Central Region,51 to 55
ZYON GRAND,"2,752,000",818.06,"3,364",May-26,KIM SENG ROAD,New Sale,Strata,76,"36,211",-,Apartment,1,99 yrs lease commencing from 2024,03,Rest of Central Region,51 to 55
ECHELON,"1,080,000",452.09,"2,389",May-26,ALEXANDRA VIEW,Resale,Strata,42,"25,714",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,41 to 45
HIGHLINE RESIDENCES,"2,308,000",904.18,"2,553",May-26,KIM TIAN ROAD,Resale,Strata,84,"27,476",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,06 to 10
ALEX RESIDENCES,"1,015,000",473.62,"2,143",May-26,ALEXANDRA VIEW,Resale,Strata,44,"23,068",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
HIGHLINE RESIDENCES,"3,038,000","1,151.75","2,638",May-26,KIM TIAN ROAD,Resale,Strata,107,"28,393",-,Condominium,1,99 yrs lease commencing from 2013,03,Rest of Central Region,31 to 35
AVENUE SOUTH RESIDENCE,"980,000",473.62,"2,069",May-26,SILAT AVENUE,Resale,Strata,44,"22,273",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,01 to 05
QUEENS,"2,330,000","1,184.04","1,968",May-26,STIRLING ROAD,Resale,Strata,110,"21,182",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,16 to 20
EMERALD PARK,"1,520,000",925.7,"1,642",May-26,INDUS ROAD,Resale,Strata,86,"17,674",-,Condominium,1,99 yrs lease commencing from 1991,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"3,580,000","1,345.5","2,661",May-26,STIRLING ROAD,Resale,Strata,125,"28,640",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
RESIDENTIAL APARTMENTS,"1,880,000",731.95,"2,568",May-26,OUTRAM ROAD,Resale,Strata,68,"27,647",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
QUEENS,"2,000,000","1,184.04","1,689",May-26,STIRLING ROAD,Resale,Strata,110,"18,182",-,Condominium,1,99 yrs lease commencing from 1998,03,Rest of Central Region,06 to 10
STIRLING RESIDENCES,"1,200,000",505.91,"2,372",May-26,STIRLING ROAD,Resale,Strata,47,"25,532",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
AVENUE SOUTH RESIDENCE,"1,640,000",688.9,"2,381",May-26,SILAT AVENUE,Resale,Strata,64,"25,625",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,36 to 40
AVENUE SOUTH RESIDENCE,"2,700,000","1,108.69","2,435",May-26,SILAT AVENUE,Resale,Strata,103,"26,214",-,Apartment,1,99 yrs lease commencing from 2018,03,Rest of Central Region,21 to 25
ECHELON,"2,183,888","1,001.05","2,182",May-26,ALEXANDRA VIEW,Resale,Strata,93,"23,483",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,36 to 40
RIVER PLACE,"2,140,000","1,291.68","1,657",May-26,HAVELOCK ROAD,Resale,Strata,120,"17,833",-,Condominium,1,99 yrs lease commencing from 1995,03,Rest of Central Region,01 to 05
ALEX RESIDENCES,"2,245,000",904.18,"2,483",May-26,ALEXANDRA VIEW,Resale,Strata,84,"26,726",-,Apartment,1,99 yrs lease commencing from 2013,03,Rest of Central Region,26 to 30
ARTRA,"2,100,000",828.83,"2,534",May-26,ALEXANDRA VIEW,Resale,Strata,77,"27,273",-,Apartment,1,99 yrs lease commencing from 2016,03,Rest of Central Region,36 to 40
THE CREST,"3,618,000","1,700.71","2,127",May-26,PRINCE CHARLES CRESCENT,Resale,Strata,158,"22,899",-,Condominium,1,99 yrs lease commencing from 2012,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"1,560,000",635.08,"2,456",May-26,STIRLING ROAD,Resale,Strata,59,"26,441",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,31 to 35
PROMENADE PEAK,"3,996,300","1,162.51","3,438",May-26,ZION PROMENADE,New Sale,Strata,108,"37,003",-,Condominium,1,99 yrs lease commencing from 2024,03,Rest of Central Region,56 to 60
PENRITH,"1,788,000",613.55,"2,914",May-26,MARGARET DRIVE,New Sale,Strata,57,"31,368",-,Apartment,1,99 yrs lease commencing from 2024,03,Rest of Central Region,26 to 30
QUEENS PEAK,"972,000",441.32,"2,202",Apr-26,DUNDEE ROAD,Resale,Strata,41,"23,707",-,Condominium,1,99 yrs lease commencing from 2015,03,Rest of Central Region,11 to 15
THE ANCHORAGE,"3,660,000","1,829.88","2,000",Apr-26,ALEXANDRA ROAD,Resale,Strata,170,"21,529",-,Condominium,1,Freehold,03,Rest of Central Region,06 to 10
ALEXIS,"768,000",387.5,"1,982",Apr-26,ALEXANDRA ROAD,Resale,Strata,36,"21,333",-,Apartment,1,Freehold,03,Rest of Central Region,01 to 05
STIRLING RESIDENCES,"2,860,000","1,054.87","2,711",Apr-26,STIRLING ROAD,Resale,Strata,98,"29,184",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,26 to 30
