Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KEMBANGAN SUITES,"750,000",419.8,"1,787",May-26,JALAN MASJID,Resale,Strata,39,"19,231",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
URBAN TREASURES,"850,000",452.09,"1,880",May-26,JALAN EUNOS,Resale,Strata,42,"20,238",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
EUHABITAT,"2,090,000","1,302.44","1,605",May-26,JALAN EUNOS,Resale,Strata,121,"17,273",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
SIMS URBAN OASIS,"2,130,000","1,022.58","2,083",May-26,SIMS DRIVE,Resale,Strata,95,"22,421",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,06 to 10
EUHABITAT,"788,000",624.31,"1,262",May-26,JALAN EUNOS,Resale,Strata,58,"13,586",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
NOMA,"1,130,000",667.37,"1,693",May-26,GUILLEMARD ROAD,Resale,Strata,62,"18,226",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"4,320,000","2,046.24","2,111",May-26,LORONG 4 GEYLANG,Resale,Strata,190.1,"22,725",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PARC ESTA,"995,000",452.09,"2,201",May-26,SIMS AVENUE,Resale,Strata,42,"23,690",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
SIMSVILLE,"1,396,000",968.76,"1,441",May-26,GEYLANG EAST AVENUE 2,Resale,Strata,90,"15,511",-,Condominium,1,99 yrs lease commencing from 1994,14,Rest of Central Region,06 to 10
WATERBANK AT DAKOTA,"1,870,000",882.65,"2,119",May-26,DAKOTA CRESCENT,Resale,Strata,82,"22,805",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,16 to 20
CENTRAL GROVE,"1,850,000","1,205.57","1,535",May-26,GEYLANG EAST AVENUE 1,Resale,Strata,112,"16,518",-,Condominium,1,99 yrs lease commencing from 1997,14,Rest of Central Region,11 to 15
PARK PLACE RESIDENCES AT PLQ,"1,485,000",645.84,"2,299",May-26,PAYA LEBAR ROAD,Resale,Strata,60,"24,750",-,Apartment,1,99 yrs lease commencing from 2015,14,Rest of Central Region,11 to 15
EUHABITAT,"1,568,568","1,130.22","1,388",May-26,JALAN EUNOS,Resale,Strata,105,"14,939",-,Condominium,1,99 yrs lease commencing from 2010,14,Outside Central Region,01 to 05
D'OASIA,"880,000",538.2,"1,635",May-26,LORONG MELAYU,Resale,Strata,50,"17,600",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
SIMS URBAN OASIS,"1,270,000",667.37,"1,903",May-26,SIMS DRIVE,Resale,Strata,62,"20,484",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,16 to 20
THE ANTARES,"1,430,000",850.36,"1,682",May-26,MATTAR ROAD,Resale,Strata,79,"18,101",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
RESIDENTIAL APARTMENTS,"1,600,000","1,323.97","1,208",May-26,CHANGI ROAD,Resale,Strata,123,"13,008",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05
PARC ESTA,"1,668,000",742.72,"2,246",May-26,SIMS AVENUE,Resale,Strata,69,"24,174",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,01 to 05
VACANZA @ EAST,"1,230,000",807.3,"1,524",May-26,LENGKONG TUJOH,Resale,Strata,75,"16,400",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
MILLAGE,"805,000",505.91,"1,591",May-26,CHANGI ROAD,Resale,Strata,47,"17,128",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
PENROSE,"2,128,000",947.23,"2,247",May-26,SIMS DRIVE,Sub Sale,Strata,88,"24,182",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,11 to 15
VACANZA @ EAST,"870,000",559.73,"1,554",May-26,LENGKONG TUJOH,Resale,Strata,52,"16,731",-,Condominium,1,Freehold,14,Outside Central Region,06 to 10
CENTRO MANSIONS,"1,460,000","1,194.8","1,222",May-26,LORONG 32 GEYLANG,Resale,Strata,111,"13,153",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
WATERBANK AT DAKOTA,"2,700,000","1,259.39","2,144",May-26,DAKOTA CRESCENT,Resale,Strata,117,"23,077",-,Condominium,1,99 yrs lease commencing from 2009,14,Rest of Central Region,01 to 05
ASTON MANSIONS,"1,600,000","1,227.1","1,304",May-26,LORONG 42 GEYLANG,Resale,Strata,114,"14,035",-,Apartment,1,99 yrs lease commencing from 1995,14,Rest of Central Region,06 to 10
SIMS URBAN OASIS,"1,170,000",624.31,"1,874",May-26,SIMS DRIVE,Resale,Strata,58,"20,172",-,Condominium,1,99 yrs lease commencing from 2014,14,Rest of Central Region,11 to 15
CASSIA VIEW,"1,900,000","1,151.75","1,650",May-26,GUILLEMARD ROAD,Resale,Strata,107,"17,757",-,Apartment,1,Freehold,14,Rest of Central Region,11 to 15
MORI,"1,298,000",710.42,"1,827",May-26,GUILLEMARD ROAD,Resale,Strata,66,"19,667",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
ASTORIA PARK,"1,190,000",850.36,"1,399",May-26,LORONG MYDIN,Resale,Strata,79,"15,063",-,Condominium,1,99 yrs lease commencing from 1993,14,Outside Central Region,06 to 10
WINDY HEIGHTS,"3,480,000","2,475.72","1,406",May-26,JALAN DAUD,Resale,Strata,230,"15,130",-,Condominium,1,Freehold,14,Outside Central Region,01 to 05
GEMS VILLE,"2,428,000","1,216.33","1,996",May-26,LORONG 13 GEYLANG,Resale,Strata,113,"21,487",-,Apartment,1,Freehold,14,Rest of Central Region,06 to 10
