Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
ROOTS @ TRANSIT,TRANSIT ROAD,26,Non-Landed Properties,1,"2,650",40 to 50,400 to 500,Apr-26
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,700",100 to 110,"1,100 to 1,200",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"2,800",70 to 80,800 to 900,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,050",60 to 70,600 to 700,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,4,"8,800",140 to 150,"1,500 to 1,600",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,4,"5,350",130 to 140,"1,400 to 1,500",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,4,"8,500",140 to 150,"1,500 to 1,600",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,Apr-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,700",110 to 120,"1,200 to 1,300",Apr-26
THE BROOKS I,SPRINGSIDE WALK,26,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,3,"5,500",90 to 100,"900 to 1,000",Apr-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,1,"3,800",40 to 50,500 to 600,Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,100",70 to 80,800 to 900,Apr-26
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,600",100 to 110,"1,100 to 1,200",Apr-26
NON-LANDED HOUSING DEVELOPMENT,UPPER THOMSON ROAD,26,Non-Landed Properties,NA,"4,800",110 to 120,"1,100 to 1,200",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Apr-26
NON-LANDED HOUSING DEVELOPMENT,UPPER THOMSON ROAD,26,Non-Landed Properties,NA,"3,100",110 to 120,"1,100 to 1,200",Apr-26
THOMSON GROVE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"5,000",130 to 140,"1,400 to 1,500",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,950",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,100",60 to 70,700 to 800,Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Apr-26
SEASONS PARK,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,700",90 to 100,"1,000 to 1,100",Apr-26
THE ESSENCE,CHONG KUO ROAD,26,Non-Landed Properties,2,"3,100",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,3,"5,300",90 to 100,"900 to 1,000",Apr-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,3,"5,000",200 to 210,"2,200 to 2,300",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Apr-26
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,550",80 to 90,"900 to 1,000",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,400",70 to 80,800 to 900,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,4,"5,300",130 to 140,"1,400 to 1,500",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,950",60 to 70,700 to 800,Apr-26
HONG HENG MANSIONS,SEMBAWANG ROAD,26,Non-Landed Properties,3,"3,100",80 to 90,"900 to 1,000",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,3,"5,300",90 to 100,"900 to 1,000",Apr-26
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,3,"4,150",110 to 120,"1,100 to 1,200",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"4,650",200 to 210,"2,200 to 2,300",Apr-26
HONG HENG MANSIONS,SEMBAWANG ROAD,26,Non-Landed Properties,3,"2,800",110 to 120,"1,200 to 1,300",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,300",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Apr-26
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"5,200",180 to 190,"2,000 to 2,100",Apr-26
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"2,700",80 to 90,"900 to 1,000",Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,500",70 to 80,800 to 900,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Apr-26
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"4,250",110 to 120,"1,200 to 1,300",Apr-26
THOMSON GROVE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,000",130 to 140,"1,400 to 1,500",Apr-26
LENTOR MODERN,LENTOR CENTRAL,26,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Mar-26
