Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
VACANZA @ EAST,LENGKONG TUJOH,14,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Apr-26
STARVILLE,LENGKONG TIGA,14,Non-Landed Properties,3,"4,000",110 to 120,"1,200 to 1,300",Apr-26
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,NA,"3,200",40 to 50,500 to 600,Apr-26
CENTRAL GROVE,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,3,"4,700",110 to 120,"1,200 to 1,300",Apr-26
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,3,"6,100",100 to 110,"1,100 to 1,200",Apr-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Apr-26
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,600",50 to 60,600 to 700,Apr-26
SIMS GREEN,LORONG 27A GEYLANG,14,Non-Landed Properties,2,"3,900",80 to 90,"900 to 1,000",Apr-26
THE ANTARES,MATTAR ROAD,14,Non-Landed Properties,1,"3,250",50 to 60,600 to 700,Apr-26
CENTRA HEIGHTS,SIMS AVENUE,14,Non-Landed Properties,2,"3,518",50 to 60,500 to 600,Apr-26
NESS,LORONG 32 GEYLANG,14,Non-Landed Properties,1,"2,650",40 to 50,400 to 500,Apr-26
NOMA,GUILLEMARD ROAD,14,Non-Landed Properties,2,"3,500",60 to 70,600 to 700,Apr-26
CENTRAL GROVE,GEYLANG EAST AVENUE 1,14,Non-Landed Properties,3,"5,000",100 to 110,"1,100 to 1,200",Apr-26
MILLAGE,CHANGI ROAD,14,Non-Landed Properties,2,"2,500",50 to 60,500 to 600,Apr-26
VACANZA @ EAST,LENGKONG TUJOH,14,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Apr-26
MILLAGE,CHANGI ROAD,14,Non-Landed Properties,2,"2,900",40 to 50,500 to 600,Apr-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Apr-26
THE WATERINA,LORONG 40 GEYLANG,14,Non-Landed Properties,3,"4,700",120 to 130,"1,300 to 1,400",Apr-26
ROYCE RESIDENCES,LORONG 6 GEYLANG,14,Non-Landed Properties,1,"2,780",30 to 40,400 to 500,Apr-26
LOTUS AT PAYA LEBAR (WEST WING),LORONG 41 GEYLANG,14,Non-Landed Properties,1,"3,800",60 to 70,600 to 700,Apr-26
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,NA,"2,700",40 to 50,500 to 600,Apr-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,100",30 to 40,400 to 500,Apr-26
PARK PLACE RESIDENCES AT PLQ,PAYA LEBAR ROAD,14,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Apr-26
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,2,"3,300",80 to 90,"900 to 1,000",Apr-26
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,1,"2,950",50 to 60,500 to 600,Apr-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Apr-26
URBAN TREASURES,JALAN EUNOS,14,Non-Landed Properties,3,"5,300",90 to 100,"1,000 to 1,100",Apr-26
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,1,"3,050",30 to 40,400 to 500,Apr-26
WATERBANK AT DAKOTA,DAKOTA CRESCENT,14,Non-Landed Properties,1,"3,800",50 to 60,600 to 700,Apr-26
