Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE QUARTZ,COMPASSVALE BOW,19,Non-Landed Properties,3,"4,700",120 to 130,"1,300 to 1,400",Jun-24
KENSINGTON SQUARE,JALAN LOKAM,19,Non-Landed Properties,2,"3,100",50 to 60,600 to 700,Jun-24
SPAZIO @ KOVAN,UPPER SERANGOON ROAD,19,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Jun-24
AMARANDA GARDENS,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,100",100 to 110,"1,100 to 1,200",Jun-24
THE LILIUM,HOW SUN ROAD,19,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Jun-24
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,400",60 to 70,600 to 700,Jun-24
THE FLORENCE RESIDENCES,HOUGANG AVENUE 2,19,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Jun-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,300",50 to 60,500 to 600,Jun-24
RIVER ISLES,EDGEDALE PLAINS,19,Non-Landed Properties,NA,"2,500",40 to 50,400 to 500,Jun-24
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Jun-24
RESIDENCES BOTANIQUE,YIO CHU KANG ROAD,19,Non-Landed Properties,NA,"2,700",50 to 60,500 to 600,Jun-24
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jun-24
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,700",40 to 50,500 to 600,Jun-24
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"2,500",40 to 50,500 to 600,Jun-24
