Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"5,000",100 to 110,"1,100 to 1,200",Jun-24
RV RESIDENCES,RIVER VALLEY ROAD,10,Non-Landed Properties,1,"3,450",40 to 50,400 to 500,Jun-24
ONE TREE HILL RESIDENCE,ONE TREE HILL,10,Non-Landed Properties,3,"6,100",100 to 110,"1,100 to 1,200",Jun-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Jun-24
STUDIO 3,SHANGHAI ROAD,10,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Jun-24
PROXIMO,ROBIN ROAD,10,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Jun-24
CYAN,KENG CHIN ROAD,10,Non-Landed Properties,3,"8,500",130 to 140,"1,400 to 1,500",Jun-24
VALLEY PARK,RIVER VALLEY ROAD,10,Non-Landed Properties,2,"6,200",120 to 130,"1,300 to 1,400",Jun-24
THE DRAYCOTT,DRAYCOTT PARK,10,Non-Landed Properties,3,"9,360",240 to 250,"2,600 to 2,700",Jun-24
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Jun-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Jun-24
PARKSUITES,HOLLAND GROVE ROAD,10,Non-Landed Properties,1,"4,250",50 to 60,500 to 600,Jun-24
THE ASANA,QUEEN'S ROAD,10,Non-Landed Properties,1,"2,650",30 to 40,300 to 400,Jun-24
ONE JERVOIS,JERVOIS CLOSE,10,Non-Landed Properties,2,"5,000",90 to 100,"1,000 to 1,100",Jun-24
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jun-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,3,"7,000",120 to 130,"1,300 to 1,400",Jun-24
BALMORAL GATE,BALMORAL ROAD,10,Non-Landed Properties,3,"6,300",150 to 160,"1,600 to 1,700",Jun-24
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,NA,"4,500",70 to 80,800 to 900,Jun-24
THE LEGACY,BUKIT TIMAH ROAD,10,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Jun-24
LEEDON GREEN,LEEDON HEIGHTS,10,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Jun-24
CUSCADEN RESERVE,CUSCADEN ROAD,10,Non-Landed Properties,1,"5,600",60 to 70,600 to 700,Jun-24
D'LEEDON,LEEDON HEIGHTS,10,Non-Landed Properties,4,"9,000",160 to 170,"1,700 to 1,800",Jun-24
THE ENCLAVE . HOLLAND,HOLLAND ROAD,10,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jun-24
3 CUSCADEN,CUSCADEN WALK,10,Non-Landed Properties,1,"5,000",40 to 50,400 to 500,Jun-24
FOURTH AVENUE RESIDENCES,FOURTH AVENUE,10,Non-Landed Properties,4,"10,000",130 to 140,"1,400 to 1,500",Jun-24
NASSIM JADE,NASSIM ROAD,10,Non-Landed Properties,3,"11,800",220 to 230,"2,400 to 2,500",Jun-24
SHANGHAI ONE,SHANGHAI ROAD,10,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Jun-24
BALMORAL CREST,BALMORAL CRESCENT,10,Non-Landed Properties,1,"4,200",60 to 70,700 to 800,Jun-24
ST REGIS RESIDENCES SINGAPORE,TANGLIN ROAD,10,Non-Landed Properties,3,"9,800",140 to 150,"1,500 to 1,600",Jun-24
