Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,3,"7,100",80 to 90,"900 to 1,000",Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Apr-26
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,970",40 to 50,400 to 500,Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,050",30 to 40,400 to 500,Apr-26
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"3,500",50 to 60,600 to 700,Apr-26
PARC MONDRIAN,WOODLEIGH CLOSE,13,Non-Landed Properties,2,"4,250",80 to 90,"900 to 1,000",Apr-26
THE SCENIC @ BRADDELL,BRADDELL ROAD,13,Non-Landed Properties,NA,"2,000",30 to 40,300 to 400,Apr-26
PLATINUM EDGE,LEICESTER ROAD,13,Non-Landed Properties,2,"4,200",70 to 80,700 to 800,Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,300",50 to 60,600 to 700,Apr-26
ONE LEICESTER,LEICESTER ROAD,13,Non-Landed Properties,2,"4,200",90 to 100,"1,000 to 1,100",Apr-26
BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,4,"8,500",130 to 140,"1,400 to 1,500",Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Apr-26
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Apr-26
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Apr-26
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Apr-26
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Apr-26
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,2,"4,700",90 to 100,"1,000 to 1,100",Apr-26
DAISY SUITES,DAISY ROAD,13,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
THE VENUE RESIDENCES,TAI THONG CRESCENT,13,Non-Landed Properties,3,"5,700",100 to 110,"1,100 to 1,200",Apr-26
BLOSSOMS @ WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,2,"4,350",90 to 100,"1,000 to 1,100",Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"4,000",60 to 70,600 to 700,Apr-26
THE WOODLEIGH RESIDENCES,BIDADARI PARK DRIVE,13,Non-Landed Properties,3,"7,300",80 to 90,"900 to 1,000",Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Apr-26
THE ADDITION,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,3,"4,250",70 to 80,700 to 800,Apr-26
NIN RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,100",40 to 50,500 to 600,Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Apr-26
THE ADDITION,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,2,"3,300",50 to 60,500 to 600,Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,4,"9,500",190 to 200,"2,100 to 2,200",Apr-26
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"3,200",70 to 80,800 to 900,Apr-26
AVON PARK,YOUNGBERG TERRACE,13,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Apr-26
SKY GREEN,MACPHERSON ROAD,13,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,3,"5,188",70 to 80,700 to 800,Apr-26
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Apr-26
AVON PARK,YOUNGBERG TERRACE,13,Non-Landed Properties,3,"5,100",110 to 120,"1,200 to 1,300",Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Apr-26
THE TRE VER,POTONG PASIR AVENUE 1,13,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Apr-26
NON-LANDED HOUSING DEVELOPMENT,MACPHERSON ROAD,13,Non-Landed Properties,NA,"4,800",40 to 50,500 to 600,Apr-26
NON-LANDED HOUSING DEVELOPMENT,MACPHERSON ROAD,13,Non-Landed Properties,NA,"5,800",150 to 160,"1,600 to 1,700",Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Apr-26
ONE LEICESTER,LEICESTER ROAD,13,Non-Landed Properties,3,"5,600",110 to 120,"1,200 to 1,300",Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Apr-26
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"4,350",70 to 80,800 to 900,Apr-26
PLATINUM EDGE,LEICESTER ROAD,13,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
WOODSVILLE MANSIONS,WOODSVILLE CLOSE,13,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Apr-26
THE POIZ RESIDENCES,MEYAPPA CHETTIAR ROAD,13,Non-Landed Properties,3,"5,700",70 to 80,800 to 900,Apr-26
8@WOODLEIGH,WOODLEIGH CLOSE,13,Non-Landed Properties,3,"6,000",100 to 110,"1,000 to 1,100",Apr-26
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,2,"5,000",70 to 80,800 to 900,Apr-26
AVON PARK,YOUNGBERG TERRACE,13,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Apr-26
18 WOODSVILLE,WOODSVILLE CLOSE,13,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Apr-26
BARTLEY RIDGE,MOUNT VERNON ROAD,13,Non-Landed Properties,2,"4,200",70 to 80,800 to 900,Apr-26
PARK COLONIAL,WOODLEIGH LANE,13,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Apr-26
SENNETT RESIDENCE,PHENG GECK AVENUE,13,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Apr-26
