Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,489",30 to 40,400 to 500,Aug-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,544",40 to 50,500 to 600,Aug-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"5,802",60 to 70,600 to 700,Aug-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,269",40 to 50,500 to 600,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,810",40 to 50,400 to 500,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,728",50 to 60,500 to 600,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,994",40 to 50,400 to 500,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"7,178",70 to 80,700 to 800,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,535",40 to 50,400 to 500,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,261",60 to 70,600 to 700,Jul-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,794",90 to 100,"1,000 to 1,100",Jun-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,535",40 to 50,400 to 500,Jun-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,085",40 to 50,400 to 500,Jun-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Jun-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,994",60 to 70,600 to 700,Jun-26
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,6,Non-Landed Properties,3,"23,500",>300,>3000,Jun-26
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,6,Non-Landed Properties,4,"23,500",>300,>3000,Jun-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,613",50 to 60,500 to 600,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"6,278",50 to 60,500 to 600,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"10,005",90 to 100,"1,000 to 1,100",May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,300",50 to 60,500 to 600,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"8,491",100 to 110,"1,100 to 1,200",May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"4,700",70 to 80,700 to 800,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,261",50 to 60,500 to 600,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"3,893",30 to 40,300 to 400,May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,361",40 to 50,500 to 600,May-26
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,6,Non-Landed Properties,3,"16,000",190 to 200,"2,100 to 2,200",May-26
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,6,Non-Landed Properties,3,"22,000",250 to 260,"2,700 to 2,800",May-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,810",40 to 50,400 to 500,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,269",40 to 50,500 to 600,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,261",60 to 70,700 to 800,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,900",30 to 40,300 to 400,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,792",40 to 50,500 to 600,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,810",40 to 50,400 to 500,Apr-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,351",30 to 40,300 to 400,Mar-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,361",40 to 50,500 to 600,Mar-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"6,278",50 to 60,500 to 600,Mar-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,903",60 to 70,600 to 700,Feb-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,994",40 to 50,500 to 600,Feb-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,361",40 to 50,500 to 600,Feb-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,214",30 to 40,300 to 400,Feb-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,888",50 to 60,500 to 600,Feb-26
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,6,Non-Landed Properties,4,"24,000",>300,>3000,Feb-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"3,900",60 to 70,600 to 700,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,903",60 to 70,600 to 700,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"6,200",50 to 60,500 to 600,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"5,177",40 to 50,500 to 600,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,536",70 to 80,700 to 800,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,903",60 to 70,600 to 700,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,536",60 to 70,600 to 700,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Jan-26
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"5,860",60 to 70,600 to 700,Dec-25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"4,810",40 to 50,400 to 500,Dec-25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,1,"6,278",50 to 60,500 to 600,Dec-25
HIGH STREET CENTRE,NORTH BRIDGE ROAD,6,Non-Landed Properties,2,"6,536",70 to 80,700 to 800,Dec-25
