Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BIJOU,"1,929,770",753.48,"2,561",May-26,JALAN MAT JAMBOL,Resale,Strata,70,"27,568",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"1,684,000",742.72,"2,267",May-26,JALAN LEMPENG,Resale,Strata,69,"24,406",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
HUDSON PLACE RESIDENCES,"2,835,000","1,151.75","2,461",May-26,MEDIA CIRCLE,New Sale,Strata,107,"26,495",-,Apartment,1,99 years leasehold,05,Rest of Central Region,01 to 05
HUDSON PLACE RESIDENCES,"1,656,000",645.84,"2,564",May-26,MEDIA CIRCLE,New Sale,Strata,60,"27,600",-,Apartment,1,99 years leasehold,05,Rest of Central Region,11 to 15
HUDSON PLACE RESIDENCES,"1,713,000",688.9,"2,487",May-26,MEDIA CIRCLE,New Sale,Strata,64,"26,766",-,Apartment,1,99 years leasehold,05,Rest of Central Region,01 to 05
HUDSON PLACE RESIDENCES,"1,663,000",645.84,"2,575",May-26,MEDIA CIRCLE,New Sale,Strata,60,"27,717",-,Apartment,1,99 years leasehold,05,Rest of Central Region,11 to 15
HUDSON PLACE RESIDENCES,"2,370,000","1,011.82","2,342",May-26,MEDIA CIRCLE,New Sale,Strata,94,"25,213",-,Apartment,1,99 years leasehold,05,Rest of Central Region,01 to 05
PARC IMPERIAL,"730,000",398.27,"1,833",May-26,PASIR PANJANG ROAD,Resale,Strata,37,"19,730",-,Condominium,1,Freehold,05,Rest of Central Region,01 to 05
PARC CLEMATIS,"3,860,000","1,711.48","2,255",May-26,JALAN LEMPENG,Resale,Strata,159,"24,277",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
ELTA,"2,655,000",925.7,"2,868",May-26,CLEMENTI AVENUE 1,New Sale,Strata,86,"30,872",-,Apartment,1,99 yrs lease commencing from 2024,05,Outside Central Region,36 to 40
TERRA HILL,"3,590,000","1,334.74","2,690",May-26,YEW SIANG ROAD,New Sale,Strata,124,"28,952",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
