Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
BLUWATERS 2,JALAN LOYANG BESAR,17,Non-Landed Properties,2,"3,250",80 to 90,"900 to 1,000",Jun-24
ESTELLA GARDENS,FLORA ROAD,17,Non-Landed Properties,1,"2,650",60 to 70,600 to 700,Jun-24
EDELWEISS PARK CONDOMINIUM,FLORA ROAD,17,Non-Landed Properties,3,"3,900",110 to 120,"1,200 to 1,300",Jun-24
AVILA GARDENS,FLORA ROAD,17,Non-Landed Properties,NA,"2,400",40 to 50,400 to 500,Jun-24
PARC KOMO,UPPER CHANGI ROAD NORTH,17,Non-Landed Properties,2,"2,900",50 to 60,600 to 700,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Jun-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Jun-24
CARISSA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,400",90 to 100,"1,000 to 1,100",Jun-24
LIGHTHOUSE,JALAN LOYANG BESAR,17,Non-Landed Properties,4,"6,400",270 to 280,"2,900 to 3,000",Jun-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,Jun-24
LOYANG VALLEY,LOYANG AVENUE,17,Non-Landed Properties,2,"3,950",140 to 150,"1,500 to 1,600",Jun-24
PALM ISLES,FLORA DRIVE,17,Non-Landed Properties,3,"4,000",90 to 100,"900 to 1,000",Jun-24
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"2,850",70 to 80,700 to 800,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,2,"3,100",60 to 70,600 to 700,Jun-24
PARC KOMO,UPPER CHANGI ROAD NORTH,17,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Jun-24
FERRARIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Jun-24
AZALEA PARK CONDOMINIUM,FLORA ROAD,17,Non-Landed Properties,3,"3,800",120 to 130,"1,300 to 1,400",Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,2,"3,100",50 to 60,600 to 700,Jun-24
HEDGES PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Jun-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Jun-24
EDELWEISS PARK CONDOMINIUM,FLORA ROAD,17,Non-Landed Properties,1,"2,000",70 to 80,800 to 900,Jun-24
COASTAL VIEW RESIDENCES,JALAN LOYANG BESAR,17,Non-Landed Properties,2,"3,900",100 to 110,"1,100 to 1,200",Jun-24
THE GALE,FLORA ROAD,17,Non-Landed Properties,4,"6,000",150 to 160,"1,600 to 1,700",Jun-24
THE INFLORA,FLORA DRIVE,17,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,Jun-24
BLUWATERS,JALAN LOYANG BESAR,17,Non-Landed Properties,2,"3,250",70 to 80,800 to 900,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,3,"3,400",80 to 90,"900 to 1,000",Jun-24
CASA AL MARE,JALAN LOYANG BESAR,17,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,1,"2,850",40 to 50,500 to 600,Jun-24
THE JOVELL,FLORA DRIVE,17,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Jun-24
PARC OLYMPIA,FLORA DRIVE,17,Non-Landed Properties,2,"3,000",70 to 80,700 to 800,Jun-24
DAHLIA PARK CONDOMINIUM,FLORA DRIVE,17,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jun-24
THE INFLORA,FLORA DRIVE,17,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Jun-24
EDELWEISS PARK CONDOMINIUM,FLORA ROAD,17,Non-Landed Properties,1,"3,000",70 to 80,800 to 900,Jun-24
