Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,1,"2,900",50 to 60,600 to 700,Jun-24
THOMSON GROVE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"7,600",260 to 270,"2,800 to 2,900",Jun-24
HONG HENG MANSIONS,SEMBAWANG ROAD,26,Non-Landed Properties,3,"3,200",120 to 130,"1,300 to 1,400",Jun-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"3,900",110 to 120,"1,200 to 1,300",Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,700",110 to 120,"1,200 to 1,300",Jun-24
SEASONS PARK,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,600",100 to 110,"1,100 to 1,200",Jun-24
SEASONS PARK,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,600",90 to 100,"1,000 to 1,100",Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"3,500",100 to 110,"1,100 to 1,200",Jun-24
THE ESSENCE,CHONG KUO ROAD,26,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,350",80 to 90,"900 to 1,000",Jun-24
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jun-24
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,3,"4,000",110 to 120,"1,100 to 1,200",Jun-24
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jun-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,250",70 to 80,800 to 900,Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",Jun-24
THE CALROSE,YIO CHU KANG ROAD,26,Non-Landed Properties,3,"4,600",120 to 130,"1,300 to 1,400",Jun-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,3,"6,400",170 to 180,"1,800 to 1,900",Jun-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,000",70 to 80,800 to 900,Jun-24
BULLION PARK,LENTOR LOOP,26,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jun-24
MEADOWS @ PEIRCE,UPPER THOMSON ROAD,26,Non-Landed Properties,1,"2,800",50 to 60,600 to 700,Jun-24
CASTLE GREEN,YIO CHU KANG ROAD,26,Non-Landed Properties,2,"3,900",80 to 90,"900 to 1,000",May-24
THE BROOKS II,SPRINGSIDE GREEN,26,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,May-24
