Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,3,"3,000",90 to 100,"900 to 1,000",Jun-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,300",80 to 90,800 to 900,Jun-24
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,NA,"2,700",50 to 60,600 to 700,Jun-24
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,2,"3,700",90 to 100,"1,000 to 1,100",Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,800",90 to 100,"900 to 1,000",Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,700",40 to 50,400 to 500,Jun-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Jun-24
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Jun-24
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,1,"2,800",50 to 60,600 to 700,Jun-24
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,2,"3,300",80 to 90,"900 to 1,000",Jun-24
SERENITY PARK,TAMARIND ROAD,28,Non-Landed Properties,2,"3,300",100 to 110,"1,000 to 1,100",Jun-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"2,800",80 to 90,800 to 900,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Jun-24
GRANDE VISTA,CACTUS DRIVE,28,Non-Landed Properties,4,"5,800",180 to 190,"2,000 to 2,100",Jun-24
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,3,"2,700",90 to 100,"1,000 to 1,100",Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"2,950",50 to 60,500 to 600,Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,3,"4,000",90 to 100,"900 to 1,000",Jun-24
RIVERTREES RESIDENCES,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,000",70 to 80,800 to 900,Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Jun-24
FLORAVILLE,CACTUS ROAD,28,Non-Landed Properties,1,"2,300",40 to 50,400 to 500,Jun-24
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,1,"2,650",40 to 50,500 to 600,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,100",60 to 70,600 to 700,Jun-24
GRANDE VISTA,CACTUS DRIVE,28,Non-Landed Properties,3,"3,500",110 to 120,"1,200 to 1,300",Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,100",50 to 60,500 to 600,Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,850",40 to 50,500 to 600,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Jun-24
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",60 to 70,700 to 800,Jun-24
FLORAVILLE,CACTUS ROAD,28,Non-Landed Properties,3,"3,500",70 to 80,700 to 800,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,700",80 to 90,800 to 900,Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Jun-24
SELETAR PARK RESIDENCE,SELETAR ROAD,28,Non-Landed Properties,4,"4,600",120 to 130,"1,300 to 1,400",Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,450",40 to 50,400 to 500,Jun-24
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,500",40 to 50,400 to 500,Jun-24
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,050",50 to 60,500 to 600,Jun-24
