Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
PARC BOTANNIA,"1,330,000",785.77,"1,693",May-26,FERNVALE STREET,Resale,Strata,73,"18,219",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,06 to 10
PARC BOTANNIA,"1,750,000",979.52,"1,787",May-26,FERNVALE STREET,Resale,Strata,91,"19,231",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,16 to 20
RIVERTREES RESIDENCES,"1,818,000","1,119.46","1,624",May-26,FERNVALE CLOSE,Resale,Strata,104,"17,481",-,Apartment,1,99 yrs lease commencing from 2013,28,Outside Central Region,06 to 10
HIGH PARK RESIDENCES,"2,250,000","1,420.85","1,584",May-26,FERNVALE ROAD,Resale,Strata,132,"17,045",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05
HIGH PARK RESIDENCES,"1,238,888",721.19,"1,718",May-26,FERNVALE ROAD,Resale,Strata,67,"18,491",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
HIGH PARK RESIDENCES,"2,038,000","1,237.86","1,646",May-26,FERNVALE ROAD,Resale,Strata,115,"17,722",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,11 to 15
THE GREENWICH,"1,450,000","1,076.4","1,347",May-26,SELETAR ROAD,Resale,Strata,100,"14,500",-,Condominium,1,99 yrs lease commencing from 2009,28,Outside Central Region,01 to 05
H2O RESIDENCES,"1,200,000",764.24,"1,570",May-26,FERNVALE LINK,Resale,Strata,71,"16,901",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,11 to 15
SELETAR SPRINGS CONDOMINIUM,"2,150,000","2,066.69","1,040",May-26,GERALD DRIVE,Resale,Strata,192,"11,198",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
H2O RESIDENCES,"2,280,000","1,388.56","1,642",May-26,FERNVALE LINK,Resale,Strata,129,"17,674",-,Condominium,1,99 yrs lease commencing from 2010,28,Outside Central Region,16 to 20
SUNRISE GARDENS,"2,000,000","2,034.4",983,May-26,SUNRISE AVENUE,Resale,Strata,189,"10,582",-,Condominium,1,99 yrs lease commencing from 1995,28,Outside Central Region,01 to 05
