Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
ASPEN HEIGHTS,RIVER VALLEY ROAD,09,Non-Landed Properties,4,"7,000",140 to 150,"1,500 to 1,600",Jun-24
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,3,"6,000",70 to 80,800 to 900,Jun-24
ESPADA,ST. THOMAS WALK,09,Non-Landed Properties,1,"4,500",110 to 120,"1,200 to 1,300",Jun-24
111 EMERALD HILL,EMERALD HILL ROAD,09,Non-Landed Properties,3,"9,800",180 to 190,"1,900 to 2,000",Jun-24
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,1,"5,300",50 to 60,600 to 700,Jun-24
THE LAURELS,CAIRNHILL ROAD,09,Non-Landed Properties,NA,"4,250",50 to 60,500 to 600,Jun-24
LEONIE CONDOTEL,LEONIE HILL ROAD,09,Non-Landed Properties,4,"10,800",250 to 260,"2,700 to 2,800",Jun-24
YONG AN PARK,RIVER VALLEY ROAD,09,Non-Landed Properties,3,"15,000",420 to 430,"4,500 to 4,600",Jun-24
THE CATHAY RESIDENCE,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,746",90 to 100,"900 to 1,000",Jun-24
RIVERDALE RESIDENCE,RIVER VALLEY ROAD,09,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Jun-24
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,2,"5,825",50 to 60,600 to 700,Jun-24
CASA CAIRNHILL,PECK HAY ROAD,09,Non-Landed Properties,3,"7,500",240 to 250,"2,600 to 2,700",Jun-24
CAIRNHILL NINE,CAIRNHILL ROAD,09,Non-Landed Properties,2,"8,400",90 to 100,"1,000 to 1,100",Jun-24
NON-LANDED HOUSING DEVELOPMENT,CLAYMORE ROAD,09,Non-Landed Properties,2,"3,800",70 to 80,800 to 900,Jun-24
LUMA,RIVER VALLEY GROVE,09,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Jun-24
LLOYD SIXTYFIVE,LLOYD ROAD,09,Non-Landed Properties,1,"4,500",50 to 60,600 to 700,Jun-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,400",50 to 60,500 to 600,Jun-24
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,2,"7,800",90 to 100,"1,000 to 1,100",Jun-24
RIVERGATE,ROBERTSON QUAY,09,Non-Landed Properties,3,"12,200",160 to 170,"1,700 to 1,800",Jun-24
HAUS ON HANDY,HANDY ROAD,09,Non-Landed Properties,2,"5,500",50 to 60,600 to 700,Jun-24
ASPEN HEIGHTS,RIVER VALLEY ROAD,09,Non-Landed Properties,4,"7,400",140 to 150,"1,500 to 1,600",Jun-24
ESTILO,WILKIE ROAD,09,Non-Landed Properties,1,"3,400",40 to 50,500 to 600,Jun-24
HAUS ON HANDY,HANDY ROAD,09,Non-Landed Properties,2,"5,500",50 to 60,600 to 700,Jun-24
MIRAGE TOWER,KIM SENG ROAD,09,Non-Landed Properties,3,"7,000",130 to 140,"1,400 to 1,500",Jun-24
SCOTTS SQUARE,SCOTTS ROAD,09,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Jun-24
RIVERIA GARDENS,RIVER VALLEY GROVE,09,Non-Landed Properties,2,"5,000",90 to 100,"900 to 1,000",Jun-24
WILMER HOUSE,ST. THOMAS WALK,09,Non-Landed Properties,3,"8,000",200 to 210,"2,200 to 2,300",Jun-24
OUE TWIN PEAKS,LEONIE HILL ROAD,09,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Jun-24
SOPHIA HILLS,MOUNT SOPHIA,09,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Jun-24
SUITES AT ORCHARD,HANDY ROAD,09,Non-Landed Properties,1,"4,100",50 to 60,500 to 600,Jun-24
LEONIE CONDOTEL,LEONIE HILL ROAD,09,Non-Landed Properties,4,"11,350",280 to 290,"3,000 to 3,100",Jun-24
MARTIN PLACE RESIDENCES,MARTIN PLACE,09,Non-Landed Properties,3,"11,000",160 to 170,"1,700 to 1,800",Jun-24
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,4,"9,000",140 to 150,"1,600 to 1,700",Jun-24
THE EDGE ON CAIRNHILL,CAIRNHILL ROAD,09,Non-Landed Properties,4,"9,800",190 to 200,"2,100 to 2,200",Jun-24
8 SAINT THOMAS,ST. THOMAS WALK,09,Non-Landed Properties,3,"8,700",100 to 110,"1,100 to 1,200",Jun-24
ESTILO,WILKIE ROAD,09,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Jun-24
ASPEN LINQ,INSTITUTION HILL,09,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Jun-24
CLAREMONT,KILLINEY ROAD,09,Non-Landed Properties,2,"3,500",90 to 100,"1,000 to 1,100",Jun-24
MIRAGE TOWER,KIM SENG ROAD,09,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Jun-24
WILKIE 80,WILKIE ROAD,09,Non-Landed Properties,2,"4,000",50 to 60,500 to 600,Jun-24
KOPAR AT NEWTON,MAKEWAY AVENUE,09,Non-Landed Properties,1,"3,700",40 to 50,500 to 600,Jun-24
STARLIGHT SUITES,RIVER VALLEY CLOSE,09,Non-Landed Properties,1,"4,200",50 to 60,500 to 600,Jun-24
