Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Jun-24
ECO,BEDOK SOUTH AVENUE 3,16,Non-Landed Properties,1,"2,400",50 to 60,500 to 600,Jun-24
BEDOK RESIDENCES,BEDOK NORTH DRIVE,16,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Jun-24
ARCHIPELAGO,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jun-24
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,200",100 to 110,"1,100 to 1,200",Jun-24
WATERFRONT GOLD,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Jun-24
EAST MEADOWS,TANAH MERAH KECHIL ROAD,16,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jun-24
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,2,"2,700",60 to 70,600 to 700,Jun-24
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,3,"5,250",110 to 120,"1,200 to 1,300",Jun-24
WATERFRONT ISLE,BEDOK RESERVOIR ROAD,16,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jun-24
CASA MERAH,TANAH MERAH KECHIL AVENUE,16,Non-Landed Properties,2,"4,100",80 to 90,"900 to 1,000",Jun-24
COSTA DEL SOL,BAYSHORE ROAD,16,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Jun-24
EAST COAST RESIDENCES,UPPER EAST COAST ROAD,16,Non-Landed Properties,2,"3,000",80 to 90,800 to 900,Jun-24
URBAN VISTA,TANAH MERAH KECHIL LINK,16,Non-Landed Properties,2,"2,950",50 to 60,500 to 600,Jun-24
THE SUMMIT,UPPER EAST COAST ROAD,16,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Jun-24
BAYSHORE PARK,BAYSHORE ROAD,16,Non-Landed Properties,3,"4,400",100 to 110,"1,100 to 1,200",Jun-24
