Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
HILLVIEW GREEN,HUME AVENUE,21,Non-Landed Properties,3,"4,850",140 to 150,"1,500 to 1,600",Jun-24
HUME PARK I,HUME AVENUE,21,Non-Landed Properties,3,"4,300",140 to 150,"1,500 to 1,600",Jun-24
SIGNATURE PARK,TOH TUCK ROAD,21,Non-Landed Properties,2,"3,700",90 to 100,"1,000 to 1,100",Jun-24
MAYFAIR GARDENS,RIFLE RANGE ROAD,21,Non-Landed Properties,1,"3,550",50 to 60,500 to 600,Jun-24
PARC PALAIS,HUME AVENUE,21,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Jun-24
VERDALE,DE SOUZA AVENUE,21,Non-Landed Properties,2,"3,900",60 to 70,700 to 800,Jun-24
SYMPHONY HEIGHTS,HUME AVENUE,21,Non-Landed Properties,2,"3,600",80 to 90,"900 to 1,000",Jun-24
SUMMERHILL,HUME AVENUE,21,Non-Landed Properties,3,"4,300",110 to 120,"1,200 to 1,300",Jun-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"3,800",90 to 100,"1,000 to 1,100",Jun-24
TERRENE AT BUKIT TIMAH,JALAN JURONG KECHIL,21,Non-Landed Properties,2,"4,300",100 to 110,"1,000 to 1,100",Jun-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"5,000",160 to 170,"1,700 to 1,800",Jun-24
DAINTREE RESIDENCE,TOH TUCK ROAD,21,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jun-24
VERDALE,DE SOUZA AVENUE,21,Non-Landed Properties,NA,"3,600",60 to 70,700 to 800,Jun-24
KAP RESIDENCES,KING ALBERT PARK,21,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Jun-24
CLEMENTI PARK,SUNSET WAY,21,Non-Landed Properties,3,"5,300",180 to 190,"1,900 to 2,000",Jun-24
HUME PARK II,HUME AVENUE,21,Non-Landed Properties,3,"4,200",110 to 120,"1,200 to 1,300",Jun-24
VERDALE,DE SOUZA AVENUE,21,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jun-24
FLORIDIAN,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"6,500",120 to 130,"1,200 to 1,300",Jun-24
VERDALE,DE SOUZA AVENUE,21,Non-Landed Properties,NA,"4,300",80 to 90,"900 to 1,000",Jun-24
1 KING ALBERT PARK,KING ALBERT PARK,21,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Jun-24
THE HILLFORD,JALAN JURONG KECHIL,21,Non-Landed Properties,2,"3,000",40 to 50,500 to 600,Jun-24
THE CASCADIA,BUKIT TIMAH ROAD,21,Non-Landed Properties,3,"5,300",110 to 120,"1,200 to 1,300",Jun-24
PINE GROVE,PINE GROVE,21,Non-Landed Properties,NA,"6,100",150 to 160,"1,600 to 1,700",Jun-24
