Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THOMSON IMPERIAL COURT,"1,938,000","1,280.92","1,513",May-26,UPPER THOMSON ROAD,Resale,Strata,119,"16,286",-,Apartment,1,Freehold,20,Rest of Central Region,01 to 05
CENTRO RESIDENCES,"1,890,000",925.7,"2,042",May-26,ANG MO KIO AVENUE 8,Resale,Strata,86,"21,977",-,Condominium,1,99 yrs lease commencing from 2007,20,Outside Central Region,31 to 35
THE GARDENS AT BISHAN,"1,526,000",882.65,"1,729",May-26,SIN MING WALK,Resale,Strata,82,"18,610",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,06 to 10
AMO RESIDENCE,"3,618,000","1,474.67","2,453",May-26,ANG MO KIO RISE,Sub Sale,Strata,137,"26,409",-,Apartment,1,99 yrs lease commencing from 2021,20,Outside Central Region,06 to 10
JADESCAPE,"3,198,000","1,259.39","2,539",May-26,SHUNFU ROAD,Resale,Strata,117,"27,333",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10
AMO RESIDENCE,"2,688,888","1,044.11","2,575",May-26,ANG MO KIO RISE,Sub Sale,Strata,97,"27,720",-,Apartment,1,99 yrs lease commencing from 2021,20,Outside Central Region,06 to 10
RAFFLESIA CONDOMINIUM,"1,400,000",914.94,"1,530",May-26,BISHAN STREET 21,Resale,Strata,85,"16,471",-,Condominium,1,99 yrs lease commencing from 1997,20,Rest of Central Region,01 to 05
GRANDEUR 8,"1,918,888","1,227.1","1,564",May-26,ANG MO KIO CENTRAL 3,Resale,Strata,114,"16,832",-,Condominium,1,99 yrs lease commencing from 2002,20,Outside Central Region,16 to 20
JADESCAPE,"4,100,000","1,646.89","2,490",May-26,SHUNFU ROAD,Resale,Strata,153,"26,797",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,06 to 10
JADESCAPE,"1,020,000",527.44,"1,934",May-26,SHUNFU ROAD,Resale,Strata,49,"20,816",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,01 to 05
CENTRO RESIDENCES,"1,890,000",925.7,"2,042",May-26,ANG MO KIO AVENUE 8,Resale,Strata,86,"21,977",-,Condominium,1,99 yrs lease commencing from 2007,20,Outside Central Region,16 to 20
THOMSON GRAND,"2,730,000","1,593.07","1,714",May-26,SIN MING WALK,Resale,Strata,148,"18,446",-,Condominium,1,99 yrs lease commencing from 2010,20,Rest of Central Region,01 to 05
CENTRO RESIDENCES,"1,810,000",925.7,"1,955",May-26,ANG MO KIO AVENUE 8,Resale,Strata,86,"21,047",-,Condominium,1,99 yrs lease commencing from 2007,20,Outside Central Region,16 to 20
SKY HABITAT,"1,420,000",710.42,"1,999",May-26,BISHAN STREET 15,Resale,Strata,66,"21,515",-,Condominium,1,99 yrs lease commencing from 2011,20,Rest of Central Region,26 to 30
AMO RESIDENCE,"3,020,000","1,140.98","2,647",May-26,ANG MO KIO RISE,Sub Sale,Strata,106,"28,491",-,Apartment,1,99 yrs lease commencing from 2021,20,Outside Central Region,21 to 25
