Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
SOUTHBANK,NORTH BRIDGE ROAD,7,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Aug-26
SOUTHBANK,NORTH BRIDGE ROAD,7,Non-Landed Properties,1,"3,900",50 to 60,500 to 600,Aug-26
SOUTHBANK,NORTH BRIDGE ROAD,7,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Aug-26
SOUTHBANK,NORTH BRIDGE ROAD,7,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Aug-26
SOUTHBANK,NORTH BRIDGE ROAD,7,Non-Landed Properties,1,"3,900",50 to 60,600 to 700,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,3,"8,400",90 to 100,"1,000 to 1,100",Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,600",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,300",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,2,"5,750",50 to 60,600 to 700,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,150",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,200",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,500",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,500",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,4,"14,500",160 to 170,"1,800 to 1,900",Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,800",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,300",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,300",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,900",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,300",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,100",40 to 50,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,200",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,3,"7,700",90 to 100,"1,000 to 1,100",Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,1,"4,200",30 to 40,400 to 500,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,2,"6,800",50 to 60,600 to 700,Aug-26
MIDTOWN MODERN,TAN QUEE LAN STREET,7,Non-Landed Properties,3,"8,100",90 to 100,"1,000 to 1,100",Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,900",80 to 90,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,1,"3,500",60 to 70,600 to 700,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,3,"5,500",90 to 100,"1,000 to 1,100",Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,3,"7,500",160 to 170,"1,700 to 1,800",Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,600",80 to 90,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"5,000",80 to 90,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,3,"6,800",90 to 100,"1,000 to 1,100",Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,1,"3,750",60 to 70,600 to 700,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,800",80 to 90,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,500",70 to 80,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,500",80 to 90,800 to 900,Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Aug-26
BURLINGTON SQUARE,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,700",70 to 80,800 to 900,Aug-26
SUNSHINE PLAZA,PRINSEP LINK,7,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Aug-26
SUNSHINE PLAZA,PRINSEP LINK,7,Non-Landed Properties,2,"4,500",100 to 110,"1,100 to 1,200",Aug-26
SUNSHINE PLAZA,PRINSEP LINK,7,Non-Landed Properties,2,"4,300",70 to 80,700 to 800,Aug-26
SUNSHINE PLAZA,PRINSEP LINK,7,Non-Landed Properties,2,"4,250",70 to 80,700 to 800,Aug-26
HERITAGE PLACE,TAN QUEE LAN STREET,7,Non-Landed Properties,NA,"8,100",170 to 180,"1,800 to 1,900",Aug-26
TANQUEELAN SUITES,TAN QUEE LAN STREET,7,Non-Landed Properties,NA,"4,400",60 to 70,700 to 800,Aug-26
TEXTILE CENTRE,JALAN SULTAN,7,Non-Landed Properties,2,"3,900",80 to 90,800 to 900,Aug-26
TEXTILE CENTRE,JALAN SULTAN,7,Non-Landed Properties,3,"5,600",100 to 110,"1,100 to 1,200",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"5,800",70 to 80,800 to 900,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,700",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,500",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,800",50 to 60,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,NA,"3,250",30 to 40,400 to 500,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"6,600",90 to 100,"1,000 to 1,100",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"7,500",90 to 100,"1,000 to 1,100",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,000",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,000",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"6,500",70 to 80,800 to 900,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,300",50 to 60,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,899",50 to 60,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,000",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,NA,"3,400",30 to 40,400 to 500,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"6,733",80 to 90,"900 to 1,000",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,300",40 to 50,500 to 600,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,400",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,000",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,2,"7,500",90 to 100,"1,000 to 1,100",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,800",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,3,"12,000",150 to 160,"1,700 to 1,800",Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,700",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,395",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"5,000",60 to 70,700 to 800,Aug-26
DUO RESIDENCES,FRASER STREET,7,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Aug-26
THE PLAZA,BEACH ROAD,7,Non-Landed Properties,1,"3,250",50 to 60,500 to 600,Aug-26
THE PLAZA,BEACH ROAD,7,Non-Landed Properties,1,"3,200",40 to 50,500 to 600,Aug-26
THE PLAZA,BEACH ROAD,7,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Aug-26
THE PLAZA,BEACH ROAD,7,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Aug-26
THE PLAZA,BEACH ROAD,7,Non-Landed Properties,2,"4,000",70 to 80,800 to 900,Aug-26
LIANG SEAH COURT,LIANG SEAH STREET,7,Non-Landed Properties,NA,"3,300",50 to 60,500 to 600,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"4,400",50 to 60,500 to 600,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"2,850",60 to 70,600 to 700,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"3,200",70 to 80,800 to 900,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,3,"2,988",80 to 90,"900 to 1,000",Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,1,"3,680",30 to 40,400 to 500,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,3,"2,800",80 to 90,"900 to 1,000",Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,1,"3,400",30 to 40,400 to 500,Aug-26
CITY GATE,BEACH ROAD,7,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Aug-26
THE 101,BEACH ROAD,7,Non-Landed Properties,3,"2,400",140 to 150,"1,500 to 1,600",Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,100",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,400",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,500",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,500",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,400",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,300",30 to 40,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,150",30 to 40,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,800",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,3,"12,000",110 to 120,"1,100 to 1,200",Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,2,"6,000",60 to 70,700 to 800,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,500",40 to 50,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"3,750",30 to 40,400 to 500,Aug-26
MIDTOWN BAY,BEACH ROAD,7,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Aug-26
SIN THAI HIN BUILDING,PRINSEP STREET,7,Non-Landed Properties,3,"5,200",150 to 160,"1,700 to 1,800",Aug-26
SOUTH BEACH RESIDENCES,BEACH ROAD,7,Non-Landed Properties,2,"14,500",160 to 170,"1,700 to 1,800",Aug-26
SOUTH BEACH RESIDENCES,BEACH ROAD,7,Non-Landed Properties,2,"10,450",110 to 120,"1,200 to 1,300",Aug-26
SOUTH BEACH RESIDENCES,BEACH ROAD,7,Non-Landed Properties,2,"8,500",90 to 100,"1,000 to 1,100",Aug-26
TALIB CENTRE,PURVIS STREET,7,Non-Landed Properties,NA,"3,300",70 to 80,700 to 800,Aug-26
TALIB CENTRE,PURVIS STREET,7,Non-Landed Properties,NA,"3,100",70 to 80,700 to 800,Aug-26
LIANG SEAH PLACE,LIANG SEAH STREET,7,Non-Landed Properties,NA,"4,476",100 to 110,"1,100 to 1,200",Aug-26
LIANG SEAH PLACE,LIANG SEAH STREET,7,Non-Landed Properties,NA,"3,409",80 to 90,"900 to 1,000",Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,400",80 to 90,800 to 900,Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,800",80 to 90,"900 to 1,000",Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,800",80 to 90,800 to 900,Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,3,"5,150",90 to 100,"1,000 to 1,100",Aug-26
THE BENCOOLEN,BENCOOLEN STREET,7,Non-Landed Properties,2,"4,300",90 to 100,"1,000 to 1,100",Aug-26
