Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,NA,"2,850",50 to 60,600 to 700,Aug-26
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,NA,"2,950",50 to 60,600 to 700,Aug-26
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Aug-26
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,2,"3,500",80 to 90,"900 to 1,000",Aug-26
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,2,"3,500",80 to 90,800 to 900,Aug-26
THE GREENWICH,SELETAR ROAD,28,Non-Landed Properties,3,"4,000",90 to 100,"1,000 to 1,100",Aug-26
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,28,Non-Landed Properties,3,"4,100",120 to 130,"1,300 to 1,400",Aug-26
SELETAR SPRINGS CONDOMINIUM,GERALD DRIVE,28,Non-Landed Properties,1,"3,300",80 to 90,"900 to 1,000",Aug-26
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,380",60 to 70,700 to 800,Aug-26
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,2,"3,550",110 to 120,"1,200 to 1,300",Aug-26
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,1,"2,650",40 to 50,400 to 500,Aug-26
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,3,"3,800",80 to 90,"900 to 1,000",Aug-26
RIVERBANK @ FERNVALE,FERNVALE CLOSE,28,Non-Landed Properties,3,"3,600",90 to 100,"1,000 to 1,100",Aug-26
SUNRISE GARDENS,SUNRISE AVENUE,28,Non-Landed Properties,3,"4,300",110 to 120,"1,200 to 1,300",Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"2,750",60 to 70,600 to 700,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,750",80 to 90,800 to 900,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"2,950",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,300",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"2,900",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,600",80 to 90,800 to 900,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,NA,"2,400",30 to 40,300 to 400,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,300",50 to 60,600 to 700,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,050",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,100",60 to 70,600 to 700,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,600 to 700,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,3,"3,700",80 to 90,800 to 900,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,050",50 to 60,500 to 600,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,000",60 to 70,700 to 800,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,Aug-26
HIGH PARK RESIDENCES,FERNVALE ROAD,28,Non-Landed Properties,2,"3,500",60 to 70,700 to 800,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,3,"4,100",80 to 90,800 to 900,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,600",60 to 70,600 to 700,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,500",40 to 50,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,550",30 to 40,400 to 500,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,400",60 to 70,600 to 700,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,550",40 to 50,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"2,950",50 to 60,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,300",50 to 60,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,2,"3,750",60 to 70,600 to 700,Aug-26
PARC BOTANNIA,FERNVALE STREET,28,Non-Landed Properties,1,"2,300",30 to 40,400 to 500,Aug-26
GRANDE VISTA,CACTUS DRIVE,28,Non-Landed Properties,3,"4,100",110 to 120,"1,200 to 1,300",Aug-26
GRANDE VISTA,CACTUS DRIVE,28,Non-Landed Properties,3,"4,400",150 to 160,"1,600 to 1,700",Aug-26
GRANDE VISTA,CACTUS DRIVE,28,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Aug-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Aug-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,400",60 to 70,700 to 800,Aug-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,4,"4,500",120 to 130,"1,300 to 1,400",Aug-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,300",60 to 70,700 to 800,Aug-26
H2O RESIDENCES,FERNVALE LINK,28,Non-Landed Properties,2,"3,000",60 to 70,700 to 800,Aug-26
