project_name,district,market_segment,tenure,lease_start_year,transaction_count,median_psf,avg_psf_5yr_ago,appreciation_1yr,appreciation_3yr,appreciation_5yr,annualized_appreciation,resale_annualized_appreciation,new_sale_proportion,has_new_launch_bias,appreciation_momentum,data_coverage,source,updated
HILLION RESIDENCES,D23,Outside Central Region,99 yrs lease commencing from 2013,2013,144,1754.5,1533.0,-3.625377643504535,2.782659636789697,14.4487932159165,2.735903239858617,2.735903239858617,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
REGENT HEIGHTS,D23,Outside Central Region,99 yrs lease commencing from 1995,1995,139,1046.5,804.5,-3.770114942528735,1.8987341772152,30.080795525170913,5.400491689148512,5.400491689148512,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
PALM GARDENS,D23,Outside Central Region,99 yrs lease commencing from 1996,1996,138,1062.0,780.0,-0.04705882352941115,5.044510385756684,36.15384615384616,6.366772798917197,6.366772798917197,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
MAYSPRINGS,D23,Outside Central Region,99 yrs lease commencing from 1994,1994,135,1157.5,915.5,-1.4893617021276562,7.875116495806145,26.433642818132164,4.802714194835533,4.802714194835533,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
THE TENNERY,D23,Outside Central Region,99 yrs lease commencing from 2010,2010,128,1369.0,1159.5,1.2199630314232879,4.984662576687127,18.0681328158689,3.377622281014059,3.377622281014059,0.0,False,-0.432,5yr,ura_5yr_cagr,2026-06-07
HILLSTA,D23,Outside Central Region,99 yrs lease commencing from 2011,2011,123,1388.5,1166.5,1.9831068674256436,5.589353612167303,19.031290184312045,3.545738094337958,3.545738094337958,0.0,False,-0.313,5yr,ura_5yr_cagr,2026-06-07
LE QUEST,D23,Outside Central Region,99 yrs lease commencing from 2016,2016,118,1664.0,1540.5,1.8983466013472228,2.5893958076448786,8.016877637130793,1.5543016100403095,1.5543016100403095,0.0,False,0.069,5yr,ura_5yr_cagr,2026-06-07
HILLVIEW REGENCY,D23,Outside Central Region,99 yrs lease commencing from 2000,2000,118,1188.0,955.0,0.6779661016949046,8.841044434264766,24.3979057591623,4.463028847854034,4.463028847854034,0.0,False,-0.757,5yr,ura_5yr_cagr,2026-06-07
NORTHVALE,D23,Outside Central Region,99 yrs lease commencing from 1995,1995,112,1102.0,774.0,-0.18115942028985588,11.538461538461542,42.377260981912144,7.3218441657309175,7.3218441657309175,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
FORESQUE RESIDENCES,D23,Outside Central Region,99 yrs lease commencing from 2011,2011,110,1614.5,1223.0,0.4042288557214002,8.647375504710642,32.011447260834025,5.711520238043133,5.711520238043133,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
ECO SANCTUARY,D23,Outside Central Region,99 yrs lease commencing from 2012,2012,108,1628.5,1336.0,-1.1532625189681345,4.157339302846186,21.893712574850312,4.039021979862523,4.039021979862523,0.0,False,-1.0,5yr,ura_5yr_cagr,2026-06-07
