Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
REFLECTIONS AT KEPPEL BAY,"3,200,000","1,689.95","1,894",May-26,KEPPEL BAY VIEW,Resale,Strata,157,"20,382",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
REFLECTIONS AT KEPPEL BAY,"2,800,000","1,420.85","1,971",May-26,KEPPEL BAY VIEW,Resale,Strata,132,"21,212",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,21 to 25
THE REEF AT KING'S DOCK,"1,555,000",678.13,"2,293",May-26,HARBOURFRONT AVENUE,Sub Sale,Strata,63,"24,683",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
CORALS AT KEPPEL BAY,"1,800,000",893.41,"2,015",May-26,KEPPEL BAY DRIVE,Resale,Strata,83,"21,687",-,Condominium,1,99 yrs lease commencing from 2007,04,Rest of Central Region,06 to 10
SEVEN PALMS SENTOSA COVE,"13,380,000","4,273.31","3,131",May-26,COVE DRIVE,Resale,Strata,397,"33,703",-,Condominium,1,99 yrs lease commencing from 2007,04,Core Central Region,01 to 05
THE INTERLACE,"1,910,000","1,076.4","1,774",May-26,DEPOT ROAD,Resale,Strata,100,"19,100",-,Condominium,1,99 yrs lease commencing from 2009,04,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"3,800,000","2,055.92","1,848",May-26,KEPPEL BAY VIEW,Resale,Strata,191,"19,895",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,36 to 40
THE REEF AT KING'S DOCK,"1,750,000",688.9,"2,540",May-26,HARBOURFRONT AVENUE,Sub Sale,Strata,64,"27,344",-,Condominium,1,99 yrs lease commencing from 2021,04,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"3,390,000","1,905.23","1,779",May-26,KEPPEL BAY VIEW,Resale,Strata,177,"19,153",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,06 to 10
CARIBBEAN AT KEPPEL BAY,"2,750,000","1,323.97","2,077",May-26,KEPPEL BAY DRIVE,Resale,Strata,123,"22,358",-,Condominium,1,99 yrs lease commencing from 1999,04,Rest of Central Region,01 to 05
REFLECTIONS AT KEPPEL BAY,"5,700,000","2,949.34","1,933",May-26,KEPPEL BAY VIEW,Resale,Strata,274,"20,803",-,Condominium,1,99 yrs lease commencing from 2006,04,Rest of Central Region,01 to 05
