Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"7,528",90 to 100,"1,000 to 1,100",Jun-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,500",60 to 70,600 to 700,Jun-24
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,4,"22,000",310 to 320,"3,300 to 3,400",Jun-24
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"13,000",190 to 200,"2,100 to 2,200",Jun-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,000",50 to 60,500 to 600,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,176",40 to 50,400 to 500,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"8,300",100 to 110,"1,100 to 1,200",May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,300",50 to 60,500 to 600,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",40 to 50,400 to 500,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,500",40 to 50,500 to 600,May-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"6,500",50 to 60,500 to 600,Apr-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,900",30 to 40,300 to 400,Apr-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"5,500",60 to 70,700 to 800,Apr-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,800",40 to 50,500 to 600,Apr-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,500",50 to 60,500 to 600,Mar-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,500",60 to 70,600 to 700,Mar-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Feb-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"6,000",50 to 60,500 to 600,Feb-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"3,600",60 to 70,600 to 700,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,600",50 to 60,500 to 600,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"3,850",50 to 60,500 to 600,Jan-24
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"14,200",190 to 200,"2,100 to 2,200",Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,100",40 to 50,500 to 600,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,500",40 to 50,500 to 600,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"2,750",40 to 50,500 to 600,Jan-24
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"6,800",50 to 60,500 to 600,Dec-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Dec-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Dec-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Dec-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Nov-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Nov-23
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"11,300",190 to 200,"2,100 to 2,200",Nov-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",40 to 50,400 to 500,Nov-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"5,500",60 to 70,600 to 700,Nov-23
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"12,500",190 to 200,"2,100 to 2,200",Nov-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"6,300",50 to 60,500 to 600,Oct-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"6,000",50 to 60,500 to 600,Oct-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Oct-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,500",40 to 50,400 to 500,Oct-23
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"23,750",320 to 330,"3,500 to 3,600",Oct-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,2,"5,500",60 to 70,700 to 800,Oct-23
EDEN RESIDENCES CAPITOL,STAMFORD ROAD,06,Non-Landed Properties,3,"43,000",380 to 390,"4,100 to 4,200",Oct-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Sep-23
HIGH STREET CENTRE,NORTH BRIDGE ROAD,06,Non-Landed Properties,1,"5,000",30 to 40,300 to 400,Sep-23
