Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,2,"3,350",80 to 90,"900 to 1,000",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,800",60 to 70,700 to 800,Apr-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,2,"3,200",90 to 100,"900 to 1,000",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,400",70 to 80,700 to 800,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,2,"3,050",60 to 70,600 to 700,Apr-26
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,4,"4,600",90 to 100,"1,000 to 1,100",Apr-26
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,000",100 to 110,"1,000 to 1,100",Apr-26
YISHUN EMERALD,CANBERRA DRIVE,27,Non-Landed Properties,3,"4,250",100 to 110,"1,100 to 1,200",Apr-26
NORTHWOOD,JALAN MATA AYER,27,Non-Landed Properties,3,"3,900",120 to 130,"1,300 to 1,400",Apr-26
THE WISTERIA,YISHUN RING ROAD,27,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,400",70 to 80,700 to 800,Apr-26
THE WISTERIA,YISHUN RING ROAD,27,Non-Landed Properties,3,"4,000",90 to 100,"900 to 1,000",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,450",60 to 70,600 to 700,Apr-26
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,3,"3,900",80 to 90,"900 to 1,000",Apr-26
THE COMMODORE,CANBERRA DRIVE,27,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,400",70 to 80,700 to 800,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"3,000",40 to 50,400 to 500,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,4,"4,250",90 to 100,"1,000 to 1,100",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,900",70 to 80,700 to 800,Apr-26
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,2,"4,600",100 to 110,"1,100 to 1,200",Apr-26
THE WISTERIA,YISHUN RING ROAD,27,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Apr-26
EUPHONY GARDENS,JALAN MATA AYER,27,Non-Landed Properties,3,"3,200",110 to 120,"1,100 to 1,200",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"2,850",40 to 50,400 to 500,Apr-26
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,2,"3,700",100 to 110,"1,100 to 1,200",Apr-26
NINE RESIDENCES,YISHUN AVENUE 9,27,Non-Landed Properties,3,"4,600",80 to 90,"900 to 1,000",Apr-26
NINE RESIDENCES,YISHUN AVENUE 9,27,Non-Landed Properties,2,"3,100",60 to 70,700 to 800,Apr-26
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,3,"4,600",120 to 130,"1,300 to 1,400",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,4,"6,200",110 to 120,"1,100 to 1,200",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Apr-26
THE WISTERIA,YISHUN RING ROAD,27,Non-Landed Properties,3,"4,000",80 to 90,800 to 900,Apr-26
SYMPHONY SUITES,YISHUN CLOSE,27,Non-Landed Properties,3,"3,500",70 to 80,700 to 800,Apr-26
THE MILTONIA RESIDENCES,MILTONIA CLOSE,27,Non-Landed Properties,3,"3,600",90 to 100,"1,000 to 1,100",Apr-26
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Apr-26
SKIES MILTONIA,MILTONIA CLOSE,27,Non-Landed Properties,3,"3,700",90 to 100,"900 to 1,000",Apr-26
SELETARIS,SEMBAWANG ROAD,27,Non-Landed Properties,3,"3,800",120 to 130,"1,300 to 1,400",Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Apr-26
SEMBAWANG SPRINGS ESTATE,JALAN MALU-MALU,27,Non-Landed Properties,NA,"3,400",90 to 100,"1,000 to 1,100",Apr-26
SKIES MILTONIA,MILTONIA CLOSE,27,Non-Landed Properties,1,"2,650",40 to 50,400 to 500,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"3,800",50 to 60,600 to 700,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,NA,"3,100",50 to 60,500 to 600,Apr-26
THE WISTERIA,YISHUN RING ROAD,27,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,1,"2,650",50 to 60,600 to 700,Apr-26
THE SENSORIA,JALAN ULU SEMBAWANG,27,Non-Landed Properties,2,"3,300",100 to 110,"1,000 to 1,100",Apr-26
THE NAUTICAL,JALAN SENDUDOK,27,Non-Landed Properties,3,"3,200",80 to 90,800 to 900,Apr-26
NORTHWOOD,JALAN MATA AYER,27,Non-Landed Properties,3,"4,500",140 to 150,"1,600 to 1,700",Apr-26
EIGHT COURTYARDS,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,050",80 to 90,800 to 900,Apr-26
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,200",60 to 70,700 to 800,Apr-26
SKIES MILTONIA,MILTONIA CLOSE,27,Non-Landed Properties,3,"3,700",90 to 100,"900 to 1,000",Apr-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,3,"4,200",110 to 120,"1,100 to 1,200",Apr-26
SKIES MILTONIA,MILTONIA CLOSE,27,Non-Landed Properties,3,"3,450",90 to 100,"900 to 1,000",Apr-26
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,700",90 to 100,"900 to 1,000",Apr-26
THE COMMODORE,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Apr-26
ORCHID PARK CONDOMINIUM,YISHUN STREET 81,27,Non-Landed Properties,2,"3,200",80 to 90,"900 to 1,000",Apr-26
NINE RESIDENCES,YISHUN AVENUE 9,27,Non-Landed Properties,2,"3,700",60 to 70,700 to 800,Apr-26
THE ESTUARY,YISHUN AVENUE 1,27,Non-Landed Properties,4,"5,000",140 to 150,"1,500 to 1,600",Apr-26
THE WATERGARDENS AT CANBERRA,CANBERRA DRIVE,27,Non-Landed Properties,2,"3,450",70 to 80,700 to 800,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,2,"4,300",80 to 90,800 to 900,Apr-26
NORTH PARK RESIDENCES,YISHUN CENTRAL 1,27,Non-Landed Properties,1,"3,200",50 to 60,500 to 600,Apr-26
