Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
DUO RESIDENCES,"2,110,000",968.76,"2,178",May-26,FRASER STREET,Resale,Strata,90,"23,444",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,11 to 15
AUREA,"2,060,000",710.42,"2,900",May-26,BEACH ROAD,New Sale,Strata,66,"31,212",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
CITY GATE,"1,120,000",570.49,"1,963",May-26,BEACH ROAD,Resale,Strata,53,"21,132",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,16 to 20
SOUTHBANK,"1,850,000",904.18,"2,046",May-26,NORTH BRIDGE ROAD,Resale,Strata,84,"22,024",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,31 to 35
SUNSHINE PLAZA,"1,450,000","1,130.22","1,283",May-26,PRINSEP LINK,Resale,Strata,105,"13,810",-,Apartment,1,99 yrs lease commencing from 1997,07,Rest of Central Region,01 to 05
CONCOURSE SKYLINE,"2,850,000","1,410.08","2,021",May-26,BEACH ROAD,Resale,Strata,131,"21,756",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,11 to 15
MIDTOWN MODERN,"6,008,888","1,808.35","3,323",May-26,TAN QUEE LAN STREET,Sub Sale,Strata,168,"35,767",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,06 to 10
BURLINGTON SQUARE,"1,778,888","1,065.64","1,669",May-26,BENCOOLEN STREET,Resale,Strata,99,"17,969",-,Apartment,1,99 yrs lease commencing from 1996,07,Rest of Central Region,16 to 20
DUO RESIDENCES,"1,450,000",645.84,"2,245",May-26,FRASER STREET,Resale,Strata,60,"24,167",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,16 to 20
MIDTOWN BAY,"2,568,000",753.48,"3,408",Apr-26,BEACH ROAD,Resale,Strata,70,"36,686",-,Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,21 to 25
THE PLAZA,"980,000",807.3,"1,214",Apr-26,BEACH ROAD,Resale,Strata,75,"13,067",-,Apartment,1,99 yrs lease commencing from 1968,07,Core Central Region,21 to 25
CITY GATE,"1,528,000",678.13,"2,253",Apr-26,BEACH ROAD,Resale,Strata,63,"24,254",-,Apartment,1,99 yrs lease commencing from 2014,07,Rest of Central Region,26 to 30
MIDTOWN MODERN,"1,200,000",409.03,"2,934",Apr-26,TAN QUEE LAN STREET,Sub Sale,Strata,38,"31,579",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,16 to 20
DUO RESIDENCES,"1,580,000",721.19,"2,191",Apr-26,FRASER STREET,Resale,Strata,67,"23,582",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,16 to 20
THE M,"1,980,000",721.19,"2,745",Apr-26,MIDDLE ROAD,Resale,Strata,67,"29,552",-,Apartment,1,99 yrs lease commencing from 2019,07,Core Central Region,06 to 10
SOUTHBANK,"1,800,000",958,"1,879",Apr-26,NORTH BRIDGE ROAD,Resale,Strata,89,"20,225",-,Apartment,1,99 yrs lease commencing from 2006,07,Rest of Central Region,26 to 30
AUREA,"3,040,720","1,001.05","3,038",Apr-26,BEACH ROAD,New Sale,Strata,93,"32,696",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,16 to 20
DUO RESIDENCES,"1,380,000",645.84,"2,137",Apr-26,FRASER STREET,Resale,Strata,60,"23,000",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,21 to 25
MIDTOWN BAY,"1,850,000",753.48,"2,455",Apr-26,BEACH ROAD,Resale,Strata,70,"26,429",-,Apartment,1,99 yrs lease commencing from 2018,07,Core Central Region,16 to 20
CONCOURSE SKYLINE,"2,822,000","1,334.74","2,114",Apr-26,BEACH ROAD,Resale,Strata,124,"22,758",-,Apartment,1,99 yrs lease commencing from 2008,07,Core Central Region,11 to 15
BURLINGTON SQUARE,"2,775,000","2,174.33","1,276",Apr-26,BENCOOLEN STREET,Resale,Strata,202,"13,738",-,Apartment,1,99 yrs lease commencing from 1996,07,Rest of Central Region,16 to 20
DUO RESIDENCES,"2,640,000","1,184.04","2,230",Apr-26,FRASER STREET,Resale,Strata,110,"24,000",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,11 to 15
AUREA,"1,831,400",645.84,"2,836",Apr-26,BEACH ROAD,New Sale,Strata,60,"30,523",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,06 to 10
AUREA,"1,837,268",635.08,"2,893",Apr-26,BEACH ROAD,New Sale,Strata,59,"31,140",-,Apartment,1,99 yrs lease commencing from 2024,07,Core Central Region,11 to 15
DUO RESIDENCES,"3,360,000","1,528.49","2,198",Apr-26,FRASER STREET,Resale,Strata,142,"23,662",-,Apartment,1,99 yrs lease commencing from 2011,07,Core Central Region,46 to 50
BURLINGTON SQUARE,"1,538,000",936.47,"1,642",Apr-26,BENCOOLEN STREET,Resale,Strata,87,"17,678",-,Apartment,1,99 yrs lease commencing from 1996,07,Rest of Central Region,16 to 20
THE PLAZA,"975,000",828.83,"1,176",Apr-26,BEACH ROAD,Resale,Strata,77,"12,662",-,Apartment,1,99 yrs lease commencing from 1968,07,Core Central Region,21 to 25
