Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
SMART SUITES,SIMS AVENUE,14,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Jun-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,500",60 to 70,700 to 800,Jun-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,1,"3,100",30 to 40,400 to 500,Jun-24
EUHABITAT,JALAN EUNOS,14,Non-Landed Properties,1,"2,700",50 to 60,500 to 600,Jun-24
CENTRA HEIGHTS,SIMS AVENUE,14,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Jun-24
CASA AERATA,LORONG 26 GEYLANG,14,Non-Landed Properties,2,"3,200",50 to 60,600 to 700,Jun-24
THE OCTET,LORONG 24 GEYLANG,14,Non-Landed Properties,1,"3,000",30 to 40,400 to 500,Jun-24
NON-LANDED HOUSING DEVELOPMENT,LORONG 4 GEYLANG,14,Non-Landed Properties,NA,"4,200",110 to 120,"1,200 to 1,300",Jun-24
MILL AT 32,LORONG 32 GEYLANG,14,Non-Landed Properties,NA,"5,000",80 to 90,800 to 900,Jun-24
GUILLEMARD SUITES,GUILLEMARD ROAD,14,Non-Landed Properties,1,"3,400",50 to 60,600 to 700,Jun-24
THE SUNNY SPRING,LORONG 40 GEYLANG,14,Non-Landed Properties,3,"4,200",100 to 110,"1,000 to 1,100",Jun-24
ASTORIA PARK,LORONG MYDIN,14,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Jun-24
CENTRA LOFT,LORONG 35 GEYLANG,14,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Jun-24
URBAN TREASURES,JALAN EUNOS,14,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Jun-24
ATRIUM RESIDENCES,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"5,600",110 to 120,"1,200 to 1,300",Jun-24
PRIME RESIDENCE,LORONG 22 GEYLANG,14,Non-Landed Properties,1,"2,200",30 to 40,300 to 400,Jun-24
SIMS GREEN,LORONG 27A GEYLANG,14,Non-Landed Properties,3,"6,800",110 to 120,"1,200 to 1,300",Jun-24
GUILLEMARD EDGE,LORONG 30 GEYLANG,14,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,Jun-24
SIMSVILLE,GEYLANG EAST AVENUE 2,14,Non-Landed Properties,2,"3,850",90 to 100,"900 to 1,000",Jun-24
SIMS URBAN OASIS,SIMS DRIVE,14,Non-Landed Properties,2,"4,100",60 to 70,600 to 700,Jun-24
VACANZA @ EAST,LENGKONG TUJOH,14,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Jun-24
ASTOR,LENGKONG EMPAT,14,Non-Landed Properties,2,"3,400",80 to 90,800 to 900,Jun-24
DAKOTA RESIDENCES,DAKOTA CRESCENT,14,Non-Landed Properties,4,"8,600",170 to 180,"1,800 to 1,900",Jun-24
LOTUS AT PAYA LEBAR (WEST WING),LORONG 41 GEYLANG,14,Non-Landed Properties,4,"6,050",120 to 130,"1,300 to 1,400",Jun-24
LA BRISA,LORONG 28 GEYLANG,14,Non-Landed Properties,3,"4,000",80 to 90,"900 to 1,000",Jun-24
PARC ESTA,SIMS AVENUE,14,Non-Landed Properties,2,"4,200",50 to 60,600 to 700,Jun-24
THE TRUMPS,JALAN KEMBANGAN,14,Non-Landed Properties,1,"3,000",60 to 70,600 to 700,Jun-24
