Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
ROXY SQUARE,EAST COAST ROAD,15,Non-Landed Properties,NA,"2,700",50 to 60,600 to 700,Jun-24
BELLA CASITA,IPOH LANE,15,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jun-24
SUITES@ KATONG,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"2,700",30 to 40,300 to 400,Jun-24
SERAYA VILLE,SERAYA LANE,15,Non-Landed Properties,NA,"4,000",100 to 110,"1,100 to 1,200",Jun-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,3,"5,500",140 to 150,"1,500 to 1,600",Jun-24
SUITES @ EASTCOAST,UPPER EAST COAST ROAD,15,Non-Landed Properties,3,"4,200",80 to 90,"900 to 1,000",Jun-24
JUPITER 18,LORONG 102 CHANGI,15,Non-Landed Properties,1,"2,700",30 to 40,400 to 500,Jun-24
WATER PLACE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,400",110 to 120,"1,200 to 1,300",Jun-24
JI XIANG COURT,TELOK KURAU ROAD,15,Non-Landed Properties,NA,"2,950",70 to 80,700 to 800,Jun-24
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Jun-24
KATONG GARDENS,TEMBELING ROAD,15,Non-Landed Properties,NA,"6,500",180 to 190,"1,900 to 2,000",Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,300",60 to 70,600 to 700,Jun-24
DE CASALLE,LORONG N TELOK KURAU,15,Non-Landed Properties,4,"4,350",110 to 120,"1,200 to 1,300",Jun-24
SEAVIEW POINT,AMBER ROAD,15,Non-Landed Properties,3,"5,500",120 to 130,"1,300 to 1,400",Jun-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"5,100",110 to 120,"1,200 to 1,300",Jun-24
LAGUNA PARK,MARINE PARADE ROAD,15,Non-Landed Properties,NA,"4,500",150 to 160,"1,600 to 1,700",Jun-24
BELLA CASITA,IPOH LANE,15,Non-Landed Properties,1,"2,950",40 to 50,500 to 600,Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"5,400",60 to 70,700 to 800,Jun-24
MABELLE,LORONG M TELOK KURAU,15,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Jun-24
ELLIOT AT THE EAST COAST,ELLIOT ROAD,15,Non-Landed Properties,2,"4,050",90 to 100,"900 to 1,000",Jun-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,1,"3,300",50 to 60,600 to 700,Jun-24
THE LINE @ TANJONG RHU,TANJONG RHU ROAD,15,Non-Landed Properties,1,"3,050",30 to 40,400 to 500,Jun-24
EASTBAY,TAY LIAN TECK ROAD,15,Non-Landed Properties,2,"3,000",80 to 90,"900 to 1,000",Jun-24
CRYSTAL RHU,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Jun-24
PARK COURT,LORONG 101 CHANGI,15,Non-Landed Properties,3,"3,800",90 to 100,"900 to 1,000",Jun-24
ESTIQUE,ROSE LANE,15,Non-Landed Properties,2,"4,000",60 to 70,700 to 800,Jun-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,1,"3,100",60 to 70,700 to 800,Jun-24
MOUNTBATTEN LODGE,MOUNTBATTEN ROAD,15,Non-Landed Properties,2,"2,900",60 to 70,600 to 700,Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,3,"7,100",100 to 110,"1,100 to 1,200",Jun-24
THE SEA VIEW,AMBER ROAD,15,Non-Landed Properties,3,"6,200",130 to 140,"1,400 to 1,500",Jun-24
RIVEREDGE,SAMPAN PLACE,15,Non-Landed Properties,3,"6,100",140 to 150,"1,500 to 1,600",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jun-24
EASTERN LAGOON,UPPER EAST COAST ROAD,15,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",Jun-24
FORT GARDENS,FORT ROAD,15,Non-Landed Properties,NA,"3,700",80 to 90,"900 to 1,000",Jun-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Jun-24
GRAND DUCHESS AT ST PATRICK'S,ST. PATRICK'S ROAD,15,Non-Landed Properties,4,"8,200",170 to 180,"1,900 to 2,000",Jun-24
THE CAPE,AMBER ROAD,15,Non-Landed Properties,1,"3,000",50 to 60,500 to 600,Jun-24
PEBBLE BAY,TANJONG RHU ROAD,15,Non-Landed Properties,3,"10,600",190 to 200,"2,000 to 2,100",Jun-24
VERDOR RESIDENCES,JOO CHIAT TERRACE,15,Non-Landed Properties,3,"5,750",120 to 130,"1,300 to 1,400",Jun-24
THE CARPMAELINA,CARPMAEL ROAD,15,Non-Landed Properties,3,"5,400",170 to 180,"1,800 to 1,900",Jun-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,2,"4,500",80 to 90,"900 to 1,000",Jun-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"5,800",140 to 150,"1,500 to 1,600",Jun-24
E-SPACE,LORONG K TELOK KURAU,15,Non-Landed Properties,2,"3,600",70 to 80,800 to 900,Jun-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"5,500",130 to 140,"1,300 to 1,400",Jun-24
FORT GARDENS,FORT ROAD,15,Non-Landed Properties,NA,"6,400",120 to 130,"1,300 to 1,400",Jun-24
THE ATRIA AT MEYER,MEYER ROAD,15,Non-Landed Properties,NA,"4,050",90 to 100,"1,000 to 1,100",Jun-24
GRAND DUCHESS AT ST PATRICK'S,ST. PATRICK'S ROAD,15,Non-Landed Properties,4,"7,400",180 to 190,"1,900 to 2,000",Jun-24
TANJONG RIA CONDOMINIUM,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"5,100",60 to 70,700 to 800,Jun-24
HEJI GARDENS,LORONG K TELOK KURAU,15,Non-Landed Properties,NA,"4,600",220 to 230,"2,400 to 2,500",Jun-24
THE SEAWIND,LORONG M TELOK KURAU,15,Non-Landed Properties,NA,"3,200",60 to 70,600 to 700,Jun-24
RICCHEZZA,LORONG M TELOK KURAU,15,Non-Landed Properties,2,"3,800",80 to 90,800 to 900,Jun-24
NEPTUNE COURT,MARINE VISTA,15,Non-Landed Properties,NA,"3,850",110 to 120,"1,200 to 1,300",Jun-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,4,"7,500",150 to 160,"1,600 to 1,700",Jun-24
BUTTERWORTH 8,BUTTERWORTH LANE,15,Non-Landed Properties,3,"5,700",120 to 130,"1,300 to 1,400",Jun-24
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"3,400",50 to 60,500 to 600,Jun-24
STRAITS MANSIONS,SEA AVENUE,15,Non-Landed Properties,3,"5,500",90 to 100,"1,000 to 1,100",Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Jun-24
QUESTA @ DUNMAN,DUNMAN ROAD,15,Non-Landed Properties,2,"3,800",70 to 80,700 to 800,Jun-24
NON-LANDED HOUSING DEVELOPMENT,SANDY LANE,15,Non-Landed Properties,NA,"4,200",110 to 120,"1,200 to 1,300",Jun-24
THE ESTA,AMBER GARDENS,15,Non-Landed Properties,4,"8,000",140 to 150,"1,500 to 1,600",Jun-24
VERSAILLES,HEMMANT ROAD,15,Non-Landed Properties,1,"2,800",60 to 70,700 to 800,Jun-24
THE ARIEL,LORONG 105 CHANGI,15,Non-Landed Properties,3,"4,088",90 to 100,"900 to 1,000",Jun-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,4,"8,300",240 to 250,"2,500 to 2,600",Jun-24
PEBBLE BAY,TANJONG RHU ROAD,15,Non-Landed Properties,2,"6,362",120 to 130,"1,300 to 1,400",Jun-24
NEPTUNE COURT,MARINE VISTA,15,Non-Landed Properties,NA,"3,500",110 to 120,"1,200 to 1,300",Jun-24
BELLA CASITA,IPOH LANE,15,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Jun-24
AMBER 45,AMBER ROAD,15,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jun-24
WATER PLACE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,500",110 to 120,"1,200 to 1,300",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Jun-24
PARK EAST,JALAN TUA KONG,15,Non-Landed Properties,3,"5,500",150 to 160,"1,700 to 1,800",Jun-24
SILVERSEA,MARINE PARADE ROAD,15,Non-Landed Properties,3,"8,200",140 to 150,"1,500 to 1,600",Jun-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"5,500",150 to 160,"1,600 to 1,700",Jun-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"4,450",90 to 100,"1,000 to 1,100",Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"5,300",70 to 80,800 to 900,Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,3,"6,600",100 to 110,"1,000 to 1,100",Jun-24
IMPERIAL HEIGHTS,IPOH LANE,15,Non-Landed Properties,2,"3,000",50 to 60,500 to 600,Jun-24
ONE AMBER,AMBER GARDENS,15,Non-Landed Properties,2,"5,500",80 to 90,"900 to 1,000",Jun-24
THE VIEW @ MEYER,MEYER ROAD,15,Non-Landed Properties,4,"13,000",390 to 400,"4,200 to 4,300",Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,2,"4,050",60 to 70,600 to 700,Jun-24
FERNWOOD TOWERS,FERNWOOD TERRACE,15,Non-Landed Properties,3,"3,900",150 to 160,"1,600 to 1,700",Jun-24
VIBES @ EAST COAST,TELOK KURAU ROAD,15,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,Jun-24
THE HACIENDA,HACIENDA GROVE,15,Non-Landed Properties,3,"5,200",170 to 180,"1,800 to 1,900",Jun-24
NON-LANDED HOUSING DEVELOPMENT,HAIG ROAD,15,Non-Landed Properties,NA,"3,250",80 to 90,"900 to 1,000",Jun-24
OCEAN PARK,EAST COAST ROAD,15,Non-Landed Properties,NA,"7,000",190 to 200,"2,100 to 2,200",Jun-24
VIBES @ EAST COAST,TELOK KURAU ROAD,15,Non-Landed Properties,2,"3,100",60 to 70,700 to 800,Jun-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,2,"3,000",40 to 50,500 to 600,Jun-24
ARTHUR 118,ARTHUR ROAD,15,Non-Landed Properties,2,"4,000",80 to 90,"900 to 1,000",Jun-24
CORALIS,JOO CHIAT ROAD,15,Non-Landed Properties,2,"4,800",80 to 90,"900 to 1,000",Jun-24
SIGLAP V,FIRST STREET,15,Non-Landed Properties,1,"2,750",40 to 50,500 to 600,Jun-24
FLAMINGO VALLEY,SIGLAP ROAD,15,Non-Landed Properties,2,"4,480",80 to 90,"900 to 1,000",Jun-24
DUNMAN VIEW,HAIG ROAD,15,Non-Landed Properties,3,"4,500",120 to 130,"1,300 to 1,400",Jun-24
EASTERN LAGOON,UPPER EAST COAST ROAD,15,Non-Landed Properties,3,"3,700",120 to 130,"1,300 to 1,400",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,2,"4,700",60 to 70,600 to 700,Jun-24
VERTIS,AMBER GARDENS,15,Non-Landed Properties,3,"5,000",150 to 160,"1,600 to 1,700",Jun-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"5,200",120 to 130,"1,300 to 1,400",Jun-24
THE SHORE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,1,"3,700",50 to 60,500 to 600,Jun-24
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Jun-24
AMBERGLADES,AMBER GARDENS,15,Non-Landed Properties,NA,"4,900",90 to 100,"1,000 to 1,100",Jun-24
ONE FORT,FORT ROAD,15,Non-Landed Properties,3,"4,700",110 to 120,"1,200 to 1,300",Jun-24
SEASIDE RESIDENCES,SIGLAP LINK,15,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jun-24
FINLAND GARDENS,EAST COAST TERRACE,15,Non-Landed Properties,4,"5,700",160 to 170,"1,700 to 1,800",Jun-24
THE CRISTALLO,LORONG K TELOK KURAU,15,Non-Landed Properties,NA,"2,500",40 to 50,500 to 600,Jun-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jun-24
SEVENTY SAINT PATRICK'S,ST. PATRICK'S ROAD,15,Non-Landed Properties,2,"5,100",90 to 100,"1,000 to 1,100",Jun-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Jun-24
ONE FORT,FORT ROAD,15,Non-Landed Properties,3,"4,850",110 to 120,"1,200 to 1,300",Jun-24
KING'S MANSION,TANJONG KATONG ROAD,15,Non-Landed Properties,3,"5,000",140 to 150,"1,600 to 1,700",Jun-24
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,450",50 to 60,500 to 600,Jun-24
SANTA FE MANSIONS,MARGATE ROAD,15,Non-Landed Properties,3,"4,100",100 to 110,"1,000 to 1,100",Jun-24
TESSA LODGE,MOUNTBATTEN ROAD,15,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Jun-24
THE LINE @ TANJONG RHU,TANJONG RHU ROAD,15,Non-Landed Properties,1,"2,900",30 to 40,400 to 500,Jun-24
PARADISE PALMS,DUNMAN ROAD,15,Non-Landed Properties,3,"4,000",100 to 110,"1,100 to 1,200",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,4,"9,200",140 to 150,"1,500 to 1,600",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,4,"7,800",120 to 130,"1,300 to 1,400",Jun-24
SANDALWOOD,TEMBELING ROAD,15,Non-Landed Properties,2,"4,800",110 to 120,"1,100 to 1,200",Jun-24
ST PATRICK'S LOFT,ST. PATRICK'S ROAD,15,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Jun-24
WATER PLACE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jun-24
MANDARIN GARDENS,SIGLAP ROAD,15,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Jun-24
LAGOON VIEW,MARINE PARADE ROAD,15,Non-Landed Properties,NA,"4,400",150 to 160,"1,600 to 1,700",Jun-24
MELROSE VILLE,ROSE LANE,15,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Jun-24
THE MAKENA,MEYER ROAD,15,Non-Landed Properties,3,"5,000",120 to 130,"1,200 to 1,300",Jun-24
SILVERSEA,MARINE PARADE ROAD,15,Non-Landed Properties,3,"11,000",150 to 160,"1,600 to 1,700",Jun-24
THE MEYERISE,MEYER ROAD,15,Non-Landed Properties,3,"6,500",120 to 130,"1,300 to 1,400",Jun-24
THE ESTA,AMBER GARDENS,15,Non-Landed Properties,3,"6,000",120 to 130,"1,300 to 1,400",Jun-24
THE SOUND,EAST COAST ROAD,15,Non-Landed Properties,5,"7,500",170 to 180,"1,800 to 1,900",Jun-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,3,"9,000",190 to 200,"2,000 to 2,100",Jun-24
PARKSHORE,TANJONG RHU ROAD,15,Non-Landed Properties,3,"5,500",150 to 160,"1,600 to 1,700",Jun-24
GRACIOUS MANSIONS,JALAN RENDANG,15,Non-Landed Properties,3,"5,214",180 to 190,"1,900 to 2,000",Jun-24
MELROSE VILLE,ROSE LANE,15,Non-Landed Properties,1,"2,900",50 to 60,500 to 600,Jun-24
38 I SUITES,IPOH LANE,15,Non-Landed Properties,1,"2,800",40 to 50,500 to 600,Jun-24
COASTLINE RESIDENCES,AMBER ROAD,15,Non-Landed Properties,2,"4,600",60 to 70,700 to 800,Jun-24
QUESTA @ DUNMAN,DUNMAN ROAD,15,Non-Landed Properties,2,"3,600",70 to 80,700 to 800,Jun-24
COSTA RHU,RHU CROSS,15,Non-Landed Properties,2,"3,800",90 to 100,"900 to 1,000",Jun-24
TROPICS @ HAIGSVILLE,HAIGSVILLE DRIVE,15,Non-Landed Properties,1,"3,100",50 to 60,500 to 600,Jun-24
PEBBLE BAY,TANJONG RHU ROAD,15,Non-Landed Properties,4,"14,000",260 to 270,"2,800 to 2,900",Jun-24
KATONG REGENCY,TANJONG KATONG ROAD,15,Non-Landed Properties,1,"3,800",50 to 60,500 to 600,Jun-24
MARINE BLUE,MARINE PARADE ROAD,15,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Jun-24
CORALIS,JOO CHIAT ROAD,15,Non-Landed Properties,2,"4,400",70 to 80,800 to 900,Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Jun-24
COTE D'AZUR,MARINE PARADE ROAD,15,Non-Landed Properties,3,"5,600",120 to 130,"1,300 to 1,400",Jun-24
AMBER PARK,AMBER GARDENS,15,Non-Landed Properties,4,"11,000",160 to 170,"1,700 to 1,800",Jun-24
