Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
THE BEACON,"1,968,888","1,108.69","1,776",May-26,CANTONMENT ROAD,Resale,Strata,103,"19,115",-,Apartment,1,99 yrs lease commencing from 2004,02,Rest of Central Region,11 to 15
LUMIERE,"1,030,000",635.08,"1,622",May-26,MISTRI ROAD,Resale,Strata,59,"17,458",-,Apartment,1,99 yrs lease commencing from 2006,02,Core Central Region,26 to 30
ICON,"1,735,000",904.18,"1,919",May-26,GOPENG STREET,Resale,Strata,84,"20,655",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
SPOTTISWOODE 18,"920,000",387.5,"2,374",May-26,SPOTTISWOODE PARK ROAD,Resale,Strata,36,"25,556",-,Apartment,1,Freehold,02,Rest of Central Region,26 to 30
NEWPORT RESIDENCES,"1,863,000",581.26,"3,205",May-26,ANSON ROAD,New Sale,Strata,54,"34,500",-,Apartment,1,Freehold,02,Core Central Region,31 to 35
SKYSUITES@ANSON,"900,000",365.98,"2,459",May-26,ENGGOR STREET,Resale,Strata,34,"26,471",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,46 to 50
ALTEZ,"2,400,000","1,108.69","2,165",May-26,ENGGOR STREET,Resale,Strata,103,"23,301",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,41 to 45
ICON,"1,068,000",570.49,"1,872",May-26,GOPENG STREET,Resale,Strata,53,"20,151",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,26 to 30
ALTEZ,"3,798,723","1,560.78","2,434",May-26,ENGGOR STREET,Resale,Strata,145,"26,198",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,56 to 60
SPOTTISWOODE RESIDENCES,"2,390,000",925.7,"2,582",May-26,SPOTTISWOODE PARK ROAD,Resale,Strata,86,"27,791",-,Condominium,1,Freehold,02,Rest of Central Region,31 to 35
NEWPORT RESIDENCES,"1,799,000",581.26,"3,095",May-26,ANSON ROAD,New Sale,Strata,54,"33,315",-,Apartment,1,Freehold,02,Core Central Region,31 to 35
ICON,"1,020,000",581.26,"1,755",May-26,GOPENG STREET,Resale,Strata,54,"18,889",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,06 to 10
76 SHENTON,"1,300,000",624.31,"2,082",May-26,SHENTON WAY,Resale,Strata,58,"22,414",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,31 to 35
SPOTTISWOODE 18,"1,510,000",635.08,"2,378",May-26,SPOTTISWOODE PARK ROAD,Resale,Strata,59,"25,593",-,Apartment,1,Freehold,02,Rest of Central Region,06 to 10
76 SHENTON,"1,800,000",979.52,"1,838",May-26,SHENTON WAY,Resale,Strata,91,"19,780",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,11 to 15
WALLICH RESIDENCE,"1,800,000",645.84,"2,787",May-26,WALLICH STREET,Resale,Strata,60,"30,000",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,46 to 50
NEWPORT RESIDENCES,"1,467,000",452.09,"3,245",May-26,ANSON ROAD,New Sale,Strata,42,"34,929",-,Apartment,1,Freehold,02,Core Central Region,36 to 40
EON SHENTON,"1,195,000",538.2,"2,220",May-26,SHENTON WAY,Resale,Strata,50,"23,900",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,21 to 25
NEWPORT RESIDENCES,"1,464,000",473.62,"3,091",May-26,ANSON ROAD,New Sale,Strata,44,"33,273",-,Apartment,1,Freehold,02,Core Central Region,31 to 35
INTERNATIONAL PLAZA,"1,750,000","1,603.84","1,091",Apr-26,ANSON ROAD,Resale,Strata,149,"11,745",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,36 to 40
ALTEZ,"1,880,000",828.83,"2,268",Apr-26,ENGGOR STREET,Resale,Strata,77,"24,416",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,16 to 20
THE ARRIS,"2,388,000",979.52,"2,438",Apr-26,YAN KIT ROAD,Resale,Strata,91,"26,242",-,Apartment,1,Freehold,02,Rest of Central Region,01 to 05
ALTEZ,"1,180,000",548.96,"2,150",Apr-26,ENGGOR STREET,Resale,Strata,51,"23,137",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,16 to 20
ICON,"1,225,000",785.77,"1,559",Apr-26,GOPENG STREET,Resale,Strata,73,"16,781",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
NEWPORT RESIDENCES,"3,912,000","1,205.57","3,245",Apr-26,ANSON ROAD,New Sale,Strata,112,"34,929",-,Apartment,1,Freehold,02,Core Central Region,36 to 40
ICON,"1,230,000",785.77,"1,565",Apr-26,GOPENG STREET,Resale,Strata,73,"16,849",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,21 to 25
ICON,"1,045,000",570.49,"1,832",Apr-26,GOPENG STREET,Resale,Strata,53,"19,717",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,26 to 30
SPOTTISWOODE 18,"1,620,000",656.6,"2,467",Apr-26,SPOTTISWOODE PARK ROAD,Resale,Strata,61,"26,557",-,Apartment,1,Freehold,02,Rest of Central Region,26 to 30
SKY EVERTON,"2,500,000",958,"2,610",Apr-26,EVERTON ROAD,Resale,Strata,89,"28,090",-,Apartment,1,Freehold,02,Rest of Central Region,16 to 20
ONE BERNAM,"1,200,000",462.85,"2,593",Apr-26,BERNAM STREET,Sub Sale,Strata,43,"27,907",-,Apartment,1,99 yrs lease commencing from 2019,02,Core Central Region,21 to 25
NEWPORT RESIDENCES,"1,802,000",581.26,"3,100",Apr-26,ANSON ROAD,New Sale,Strata,54,"33,370",-,Apartment,1,Freehold,02,Core Central Region,26 to 30
NEWPORT RESIDENCES,"1,455,000",430.56,"3,379",Apr-26,ANSON ROAD,New Sale,Strata,40,"36,375",-,Apartment,1,Freehold,02,Core Central Region,36 to 40
ALTEZ,"3,470,000","1,560.78","2,223",Apr-26,ENGGOR STREET,Resale,Strata,145,"23,931",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,51 to 55
SKYSUITES@ANSON,"843,000",365.98,"2,303",Apr-26,ENGGOR STREET,Resale,Strata,34,"24,794",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,21 to 25
NEWPORT RESIDENCES,"2,172,000",753.48,"2,883",Apr-26,ANSON ROAD,New Sale,Strata,70,"31,029",-,Apartment,1,Freehold,02,Core Central Region,26 to 30
76 SHENTON,"1,250,000",624.31,"2,002",Apr-26,SHENTON WAY,Resale,Strata,58,"21,552",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,16 to 20
76 SHENTON,"1,175,000",592.02,"1,985",Apr-26,SHENTON WAY,Resale,Strata,55,"21,364",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,21 to 25
ICON,"1,177,500",699.66,"1,683",Apr-26,GOPENG STREET,Resale,Strata,65,"18,115",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,16 to 20
WALLICH RESIDENCE,"1,780,000",645.84,"2,756",Apr-26,WALLICH STREET,Resale,Strata,60,"29,667",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,46 to 50
ICON,"1,170,000",785.77,"1,489",Apr-26,GOPENG STREET,Resale,Strata,73,"16,027",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
NEWPORT RESIDENCES,"1,821,000",581.26,"3,133",Mar-26,ANSON ROAD,New Sale,Strata,54,"33,722",-,Apartment,1,Freehold,02,Core Central Region,31 to 35
ICON,"980,000",559.73,"1,751",Mar-26,GOPENG STREET,Resale,Strata,52,"18,846",-,Apartment,1,99 yrs lease commencing from 2002,02,Core Central Region,11 to 15
NEWPORT RESIDENCES,"3,596,000","1,205.57","2,983",Mar-26,ANSON ROAD,New Sale,Strata,112,"32,107",-,Apartment,1,Freehold,02,Core Central Region,21 to 25
SPOTTISWOODE RESIDENCES,"1,265,000",602.78,"2,099",Mar-26,SPOTTISWOODE PARK ROAD,Resale,Strata,56,"22,589",-,Condominium,1,Freehold,02,Rest of Central Region,06 to 10
76 SHENTON,"1,205,000",592.02,"2,035",Mar-26,SHENTON WAY,Resale,Strata,55,"21,909",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,26 to 30
SPOTTISWOODE PARK,"938,000",850.36,"1,103",Mar-26,SPOTTISWOODE PARK ROAD,Resale,Strata,79,"11,873",-,Apartment,1,99 yrs lease commencing from 1973,02,Rest of Central Region,01 to 05
THE ARRIS,"2,500,000","1,119.46","2,233",Mar-26,YAN KIT ROAD,Resale,Strata,104,"24,038",-,Apartment,1,Freehold,02,Rest of Central Region,06 to 10
NEWPORT RESIDENCES,"3,059,000",925.7,"3,305",Mar-26,ANSON ROAD,New Sale,Strata,86,"35,570",-,Apartment,1,Freehold,02,Core Central Region,41 to 45
NEWPORT RESIDENCES,"1,495,000",473.62,"3,157",Mar-26,ANSON ROAD,New Sale,Strata,44,"33,977",-,Apartment,1,Freehold,02,Core Central Region,36 to 40
NEWPORT RESIDENCES,"1,407,000",452.09,"3,112",Mar-26,ANSON ROAD,New Sale,Strata,42,"33,500",-,Apartment,1,Freehold,02,Core Central Region,31 to 35
NEWPORT RESIDENCES,"2,728,000",818.06,"3,335",Mar-26,ANSON ROAD,New Sale,Strata,76,"35,895",-,Apartment,1,Freehold,02,Core Central Region,41 to 45
SPOTTISWOODE 18,"945,000",387.5,"2,439",Mar-26,SPOTTISWOODE PARK ROAD,Resale,Strata,36,"26,250",-,Apartment,1,Freehold,02,Rest of Central Region,31 to 35
ALTEZ,"1,500,000",861.12,"1,742",Mar-26,ENGGOR STREET,Resale,Strata,80,"18,750",-,Apartment,1,99 yrs lease commencing from 2008,02,Core Central Region,31 to 35
NEWPORT RESIDENCES,"2,092,000",753.48,"2,776",Mar-26,ANSON ROAD,New Sale,Strata,70,"29,886",-,Apartment,1,Freehold,02,Core Central Region,26 to 30
NEWPORT RESIDENCES,"2,163,000",753.48,"2,871",Mar-26,ANSON ROAD,New Sale,Strata,70,"30,900",-,Apartment,1,Freehold,02,Core Central Region,26 to 30
INTERNATIONAL PLAZA,"1,400,000","1,033.34","1,355",Mar-26,ANSON ROAD,Resale,Strata,96,"14,583",-,Apartment,1,99 yrs lease commencing from 1970,02,Core Central Region,36 to 40
SPOTTISWOODE 18,"1,600,000",635.08,"2,519",Mar-26,SPOTTISWOODE PARK ROAD,Resale,Strata,59,"27,119",-,Apartment,1,Freehold,02,Rest of Central Region,16 to 20
NEWPORT RESIDENCES,"2,076,000",753.48,"2,755",Mar-26,ANSON ROAD,New Sale,Strata,70,"29,657",-,Apartment,1,Freehold,02,Core Central Region,21 to 25
NEWPORT RESIDENCES,"2,884,000",925.7,"3,115",Mar-26,ANSON ROAD,New Sale,Strata,86,"33,535",-,Apartment,1,Freehold,02,Core Central Region,36 to 40
WALLICH RESIDENCE,"3,250,000","1,194.8","2,720",Mar-26,WALLICH STREET,Resale,Strata,111,"29,279",-,Apartment,1,99 yrs lease commencing from 2011,02,Core Central Region,51 to 55
