Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
DORSETT RESIDENCES,NEW BRIDGE ROAD,02,Non-Landed Properties,2,"6,500",110 to 120,"1,200 to 1,300",Jun-24
SKY EVERTON,EVERTON ROAD,02,Non-Landed Properties,4,"9,000",120 to 130,"1,300 to 1,400",Jun-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,100",50 to 60,600 to 700,Jun-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"5,200",80 to 90,"900 to 1,000",Jun-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"5,000",50 to 60,600 to 700,Jun-24
DORSETT RESIDENCES,NEW BRIDGE ROAD,02,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Jun-24
76 SHENTON,SHENTON WAY,02,Non-Landed Properties,1,"4,600",50 to 60,600 to 700,Jun-24
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"5,430",100 to 110,"1,100 to 1,200",Jun-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"4,000",50 to 60,600 to 700,Jun-24
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"3,900",80 to 90,"900 to 1,000",Jun-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jun-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,200",30 to 40,300 to 400,Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"4,700",60 to 70,600 to 700,Jun-24
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,150",50 to 60,500 to 600,Jun-24
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,1,"3,600",60 to 70,600 to 700,Jun-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,750",50 to 60,600 to 700,Jun-24
ICON,GOPENG STREET,02,Non-Landed Properties,2,"6,450",80 to 90,"900 to 1,000",Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"4,800",60 to 70,600 to 700,Jun-24
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,500",50 to 60,500 to 600,Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,600",30 to 40,300 to 400,Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"4,600",60 to 70,600 to 700,Jun-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,Jun-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,000",50 to 60,600 to 700,Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,400",30 to 40,300 to 400,Jun-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,100",30 to 40,300 to 400,Jun-24
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"3,700",70 to 80,800 to 900,Jun-24
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,1,"4,350",40 to 50,500 to 600,Jun-24
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,900",60 to 70,700 to 800,Jun-24
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,700",30 to 40,300 to 400,Jun-24
