Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
EIGHT COURTYARDS,"1,540,000","1,140.98","1,350",Jun-26,CANBERRA DRIVE,Resale,Strata,106,"14,528",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CANBERRA RESIDENCES,"1,197,000","1,076.4","1,112",May-26,CANBERRA DRIVE,Resale,Strata,100,"11,970",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"1,990,912",990.29,"2,010",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,640",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,372,894","1,216.33","1,951",May-26,CANBERRA CRESCENT,New Sale,Strata,113,"20,999",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,01 to 05
EIGHT COURTYARDS,"1,980,000","1,377.79","1,437",May-26,CANBERRA DRIVE,Resale,Strata,128,"15,469",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CANBERRA RESIDENCES,"1,140,000",936.47,"1,217",May-26,CANBERRA DRIVE,Resale,Strata,87,"13,103",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CANBERRA RESIDENCES,"1,398,888","1,140.98","1,226",May-26,CANBERRA DRIVE,Resale,Strata,106,"13,197",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05
CANBERRA CRESCENT RESIDENCES,"2,045,800",990.29,"2,066",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,237",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
SYMPHONY SUITES,"1,200,000",914.94,"1,312",May-26,YISHUN CLOSE,Resale,Strata,85,"14,118",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
ORCHID PARK CONDOMINIUM,"950,000",979.52,970,May-26,YISHUN STREET 81,Resale,Strata,91,"10,440",-,Condominium,1,99 yrs lease commencing from 1991,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,005,900",990.29,"2,026",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"21,803",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
CANBERRA CRESCENT RESIDENCES,"2,040,700",990.29,"2,061",May-26,CANBERRA CRESCENT,New Sale,Strata,92,"22,182",-,Apartment,1,99 yrs lease commencing from 2024,27,Outside Central Region,06 to 10
EUPHONY GARDENS,"1,155,000","1,194.8",967,May-26,JALAN MATA AYER,Resale,Strata,111,"10,405",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
THE WATERGARDENS AT CANBERRA,"1,638,888",958,"1,711",May-26,CANBERRA DRIVE,Sub Sale,Strata,89,"18,414",-,Apartment,1,99 yrs lease commencing from 2020,27,Outside Central Region,01 to 05
NORTH PARK RESIDENCES,"1,240,000",635.08,"1,953",May-26,YISHUN CENTRAL 1,Resale,Strata,59,"21,017",-,Apartment,1,99 yrs lease commencing from 2015,27,Outside Central Region,06 to 10
YISHUN EMERALD,"1,610,000","1,399.32","1,151",May-26,CANBERRA DRIVE,Resale,Strata,130,"12,385",-,Condominium,1,99 yrs lease commencing from 1998,27,Outside Central Region,01 to 05
SELETARIS,"2,180,000","1,636.13","1,332",May-26,SEMBAWANG ROAD,Resale,Strata,152,"14,342",-,Condominium,1,Freehold,27,Outside Central Region,01 to 05
SYMPHONY SUITES,"970,000",688.9,"1,408",May-26,YISHUN CLOSE,Resale,Strata,64,"15,156",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
SYMPHONY SUITES,"1,230,000",893.41,"1,377",May-26,YISHUN CLOSE,Resale,Strata,83,"14,819",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,11 to 15
SYMPHONY SUITES,"1,180,000",914.94,"1,290",May-26,YISHUN CLOSE,Resale,Strata,85,"13,882",-,Condominium,1,99 yrs lease commencing from 2014,27,Outside Central Region,01 to 05
