Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
BLUWATERS 2,"1,130,000",871.88,"1,296",May-26,JALAN LOYANG BESAR,Resale,Strata,81,"13,951",-,Condominium,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
KASSIA,"1,557,000",753.48,"2,066",May-26,FLORA DRIVE,New Sale,Strata,70,"22,243",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
ESTELLA GARDENS,"2,000,000","1,593.07","1,255",May-26,FLORA ROAD,Resale,Strata,148,"13,514",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
CARISSA PARK CONDOMINIUM,"1,910,000","1,496.2","1,277",May-26,FLORA DRIVE,Resale,Strata,139,"13,741",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PARC OLYMPIA,"1,500,000","1,140.98","1,315",May-26,FLORA DRIVE,Resale,Strata,106,"14,151",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
PARC OLYMPIA,"1,140,000","1,022.58","1,115",May-26,FLORA DRIVE,Resale,Strata,95,"12,000",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
THE SHOREFRONT,"1,910,000",979.52,"1,950",May-26,JALAN LOYANG BESAR,New Sale,Strata,91,"20,989",-,Apartment,1,999 yrs lease commencing from 1937,17,Outside Central Region,01 to 05
THE SHOREFRONT,"1,925,000",979.52,"1,965",May-26,JALAN LOYANG BESAR,New Sale,Strata,91,"21,154",-,Apartment,1,999 yrs lease commencing from 1937,17,Outside Central Region,01 to 05
PALM ISLES,"980,000",785.77,"1,247",May-26,FLORA DRIVE,Resale,Strata,73,"13,425",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
FERRARIA PARK CONDOMINIUM,"1,338,888","1,022.58","1,309",May-26,FLORA DRIVE,Resale,Strata,95,"14,094",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
FERRARIA PARK CONDOMINIUM,"1,360,000","1,087.16","1,251",May-26,FLORA DRIVE,Resale,Strata,101,"13,465",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PARC OLYMPIA,"875,000",645.84,"1,355",May-26,FLORA DRIVE,Resale,Strata,60,"14,583",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
PARC KOMO,"780,000",452.09,"1,725",May-26,UPPER CHANGI ROAD NORTH,Resale,Strata,42,"18,571",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
THE INFLORA,"955,000",742.72,"1,286",May-26,FLORA DRIVE,Resale,Strata,69,"13,841",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
KASSIA,"2,522,000","1,345.5","1,874",Apr-26,FLORA DRIVE,New Sale,Strata,125,"20,176",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PARC OLYMPIA,"1,355,000","1,140.98","1,188",Apr-26,FLORA DRIVE,Resale,Strata,106,"12,783",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,395,000","1,076.4","1,296",Apr-26,FLORA DRIVE,Resale,Strata,100,"13,950",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
WATERCREST,"1,310,000","1,323.97",989,Apr-26,LOYANG BESAR CLOSE,Resale,Strata,123,"10,650",-,Condominium,1,999 yrs lease commencing from 1885,17,Outside Central Region,-
THE INFLORA,"665,000",462.85,"1,437",Apr-26,FLORA DRIVE,Resale,Strata,43,"15,465",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
BALLOTA PARK CONDOMINIUM,"1,185,000",990.29,"1,197",Apr-26,MARIAM WAY,Resale,Strata,92,"12,880",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KASSIA,"1,649,000",775.01,"2,128",Apr-26,FLORA DRIVE,New Sale,Strata,72,"22,903",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PALM ISLES,"940,000",785.77,"1,196",Apr-26,FLORA DRIVE,Resale,Strata,73,"12,877",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
PALM ISLES,"1,267,888",990.29,"1,280",Apr-26,FLORA DRIVE,Resale,Strata,92,"13,781",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
PARC OLYMPIA,"1,850,000","1,646.89","1,123",Apr-26,FLORA DRIVE,Resale,Strata,153,"12,092",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
PARC KOMO,"2,468,000","1,410.08","1,750",Apr-26,UPPER CHANGI ROAD NORTH,Resale,Strata,131,"18,840",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
PARC OLYMPIA,"836,000",645.84,"1,294",Apr-26,FLORA DRIVE,Resale,Strata,60,"13,933",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,245,000","1,001.05","1,244",Apr-26,FLORA DRIVE,Resale,Strata,93,"13,387",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
THE GALE,"1,420,000","1,044.11","1,360",Apr-26,FLORA ROAD,Resale,Strata,97,"14,639",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
DAHLIA PARK CONDOMINIUM,"1,560,000","1,270.15","1,228",Apr-26,FLORA DRIVE,Resale,Strata,118,"13,220",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
PALM ISLES,"728,000",559.73,"1,301",Apr-26,FLORA DRIVE,Resale,Strata,52,"14,000",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"1,400,000","1,076.4","1,301",Apr-26,FLORA DRIVE,Resale,Strata,100,"14,000",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
CARISSA PARK CONDOMINIUM,"1,650,000","1,323.97","1,246",Apr-26,FLORA DRIVE,Resale,Strata,123,"13,415",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
THE INFLORA,"1,120,000",882.65,"1,269",Apr-26,FLORA DRIVE,Resale,Strata,82,"13,659",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,01 to 05
BALLOTA PARK CONDOMINIUM,"1,650,000","1,420.85","1,161",Apr-26,MARIAM WAY,Resale,Strata,132,"12,500",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KASSIA,"2,196,000","1,054.87","2,082",Apr-26,FLORA DRIVE,New Sale,Strata,98,"22,408",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
CARISSA PARK CONDOMINIUM,"1,180,000",947.23,"1,246",Apr-26,FLORA DRIVE,Resale,Strata,88,"13,409",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
CASA AL MARE,"1,398,000",785.77,"1,779",Mar-26,JALAN LOYANG BESAR,Resale,Strata,73,"19,151",-,Apartment,1,Freehold,17,Outside Central Region,01 to 05
THE JOVELL,"1,580,000","1,033.34","1,529",Mar-26,FLORA DRIVE,Resale,Strata,96,"16,458",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"1,500,000","1,280.92","1,171",Mar-26,MARIAM WAY,Resale,Strata,119,"12,605",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"950,000",764.24,"1,243",Mar-26,FLORA DRIVE,Resale,Strata,71,"13,380",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,06 to 10
DAHLIA PARK CONDOMINIUM,"2,150,000","2,012.87","1,068",Mar-26,FLORA DRIVE,Resale,Strata,187,"11,497",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
AVILA GARDENS,"1,550,000","1,323.97","1,171",Mar-26,FLORA ROAD,Resale,Strata,123,"12,602",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KASSIA,"2,196,000","1,054.87","2,082",Mar-26,FLORA DRIVE,New Sale,Strata,98,"22,408",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
FERRARIA PARK CONDOMINIUM,"1,520,000","1,194.8","1,272",Mar-26,FLORA DRIVE,Resale,Strata,111,"13,694",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PALM ISLES,"668,000",505.91,"1,320",Mar-26,FLORA DRIVE,Resale,Strata,47,"14,213",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
EDELWEISS PARK CONDOMINIUM,"1,150,000",947.23,"1,214",Mar-26,FLORA ROAD,Resale,Strata,88,"13,068",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
PALM ISLES,"1,400,000","1,119.46","1,251",Mar-26,FLORA DRIVE,Resale,Strata,104,"13,462",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,06 to 10
BALLOTA PARK CONDOMINIUM,"1,600,000","1,420.85","1,126",Mar-26,MARIAM WAY,Resale,Strata,132,"12,121",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KASSIA,"1,609,000",753.48,"2,135",Mar-26,FLORA DRIVE,New Sale,Strata,70,"22,986",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
THE INFLORA,"1,285,000","1,033.34","1,244",Mar-26,FLORA DRIVE,Resale,Strata,96,"13,385",-,Condominium,1,99 yrs lease commencing from 2012,17,Outside Central Region,06 to 10
HEDGES PARK CONDOMINIUM,"1,355,000","1,076.4","1,259",Mar-26,FLORA DRIVE,Resale,Strata,100,"13,550",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
THE JOVELL,"1,330,000",904.18,"1,471",Mar-26,FLORA DRIVE,Resale,Strata,84,"15,833",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
THE GALE,"1,320,000",979.52,"1,348",Mar-26,FLORA ROAD,Resale,Strata,91,"14,505",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
ESTELLA GARDENS,"1,350,000","1,140.98","1,183",Mar-26,FLORA ROAD,Resale,Strata,106,"12,736",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
ESTELLA GARDENS,"813,888",656.6,"1,240",Mar-26,FLORA ROAD,Resale,Strata,61,"13,342",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
KASSIA,"2,546,000","1,345.5","1,892",Mar-26,FLORA DRIVE,New Sale,Strata,125,"20,368",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
KASSIA,"2,559,000","1,345.5","1,902",Mar-26,FLORA DRIVE,New Sale,Strata,125,"20,472",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
LE LOYANG,"1,322,000","1,108.69","1,192",Mar-26,JALAN LOYANG BESAR,Resale,Strata,103,"12,835",-,Apartment,1,999 yrs lease commencing from 1885,17,Outside Central Region,01 to 05
BLUWATERS,"1,530,000","1,173.28","1,304",Mar-26,JALAN LOYANG BESAR,Resale,Strata,109,"14,037",-,Apartment,1,946 yrs lease commencing from 1938,17,Outside Central Region,01 to 05
CARISSA PARK CONDOMINIUM,"1,690,000","1,323.97","1,276",Mar-26,FLORA DRIVE,Resale,Strata,123,"13,740",-,Condominium,1,Freehold,17,Outside Central Region,06 to 10
CARISSA PARK CONDOMINIUM,"1,690,000","1,323.97","1,276",Mar-26,FLORA DRIVE,Resale,Strata,123,"13,740",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
ESTELLA GARDENS,"1,500,000","1,259.39","1,191",Mar-26,FLORA ROAD,Resale,Strata,117,"12,821",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
PALM ISLES,"748,000",559.73,"1,336",Mar-26,FLORA DRIVE,Resale,Strata,52,"14,385",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
THE JOVELL,"1,330,000",904.18,"1,471",Mar-26,FLORA DRIVE,Resale,Strata,84,"15,833",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
PALM ISLES,"1,170,000",947.23,"1,235",Feb-26,FLORA DRIVE,Resale,Strata,88,"13,295",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05
THE JOVELL,"910,000",678.13,"1,342",Feb-26,FLORA DRIVE,Resale,Strata,63,"14,444",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
HEDGES PARK CONDOMINIUM,"950,000",764.24,"1,243",Feb-26,FLORA DRIVE,Resale,Strata,71,"13,380",-,Condominium,1,99 yrs lease commencing from 2010,17,Outside Central Region,01 to 05
THE JOVELL,"950,000",645.84,"1,471",Feb-26,FLORA DRIVE,Resale,Strata,60,"15,833",-,Condominium,1,99 yrs lease commencing from 2018,17,Outside Central Region,01 to 05
