Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
THE TEMBUSU,TAMPINES ROAD,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
FORTUNE PARK,TAMPINES ROAD,19,Non-Landed Properties,3,"4,200",80 to 90,"900 to 1,000",Apr-26
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,2,"3,500",70 to 80,700 to 800,Apr-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,750",40 to 50,400 to 500,Apr-26
THE WATERLINE,POH HUAT ROAD WEST,19,Non-Landed Properties,2,"3,700",130 to 140,"1,400 to 1,500",Apr-26
21 RICHARDS,RICHARDS AVENUE,19,Non-Landed Properties,1,"2,600",30 to 40,400 to 500,Apr-26
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,2,"3,550",80 to 90,"900 to 1,000",Apr-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,3,"4,350",90 to 100,"1,000 to 1,100",Apr-26
TERRASSE,TERRASSE LANE,19,Non-Landed Properties,2,"3,380",70 to 80,700 to 800,Apr-26
THE LUXURIE,COMPASSVALE ROAD,19,Non-Landed Properties,3,"4,200",90 to 100,"1,000 to 1,100",Apr-26
THE MINTON,HOUGANG STREET 11,19,Non-Landed Properties,3,"4,600",110 to 120,"1,200 to 1,300",Apr-26
LA FIESTA,SENGKANG SQUARE,19,Non-Landed Properties,1,"2,920",40 to 50,400 to 500,Apr-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
PARC VERA,HOUGANG STREET 32,19,Non-Landed Properties,2,"3,200",70 to 80,700 to 800,Apr-26
JANSEN 28,JANSEN ROAD,19,Non-Landed Properties,3,"3,400",100 to 110,"1,000 to 1,100",Apr-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,950",40 to 50,500 to 600,Apr-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,050",40 to 50,400 to 500,Apr-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
THE TEMBUSU,TAMPINES ROAD,19,Non-Landed Properties,3,"4,500",90 to 100,"1,000 to 1,100",Apr-26
THE PROMENADE@PELIKAT,JALAN PELIKAT,19,Non-Landed Properties,2,"3,550",110 to 120,"1,200 to 1,300",Apr-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,2,"4,000",70 to 80,700 to 800,Apr-26
FOREST WOODS,LORONG LEW LIAN,19,Non-Landed Properties,2,"3,800",60 to 70,600 to 700,Apr-26
FLO RESIDENCE,PUNGGOL FIELD WALK,19,Non-Landed Properties,3,"4,400",90 to 100,"1,000 to 1,100",Apr-26
RIVERSAILS,UPPER SERANGOON CRESCENT,19,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Apr-26
THE QUARTZ,COMPASSVALE BOW,19,Non-Landed Properties,NA,"4,700",110 to 120,"1,100 to 1,200",Apr-26
RIVERFRONT RESIDENCES,HOUGANG AVENUE 7,19,Non-Landed Properties,1,"2,850",40 to 50,500 to 600,Apr-26
KENSINGTON SQUARE,JALAN LOKAM,19,Non-Landed Properties,2,"3,000",50 to 60,600 to 700,Apr-26
RIVER ISLES,EDGEDALE PLAINS,19,Non-Landed Properties,3,"5,100",180 to 190,"1,900 to 2,000",Apr-26
KOVAN GRANDEUR,TAMPINES ROAD,19,Non-Landed Properties,NA,"2,400",30 to 40,300 to 400,Apr-26
THE GARDEN RESIDENCES,SERANGOON NORTH VIEW,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,800",40 to 50,400 to 500,Apr-26
THE SPRINGBLOOM,SERANGOON AVENUE 3,19,Non-Landed Properties,3,"5,350",120 to 130,"1,300 to 1,400",Apr-26
WATERTOWN,PUNGGOL CENTRAL,19,Non-Landed Properties,1,"3,380",50 to 60,500 to 600,Apr-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Apr-26
KINGSFORD WATERBAY,UPPER SERANGOON VIEW,19,Non-Landed Properties,1,"2,600",40 to 50,400 to 500,Apr-26
THE WATERLINE,POH HUAT ROAD WEST,19,Non-Landed Properties,3,"3,850",100 to 110,"1,100 to 1,200",Apr-26
AFFINITY AT SERANGOON,SERANGOON NORTH AVENUE 1,19,Non-Landed Properties,1,"2,850",50 to 60,500 to 600,Apr-26
COMPASS HEIGHTS,SENGKANG SQUARE,19,Non-Landed Properties,2,"3,400",110 to 120,"1,200 to 1,300",Apr-26
EVERGREEN PARK,HOUGANG AVENUE 7,19,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Apr-26
A TREASURE TROVE,PUNGGOL WALK,19,Non-Landed Properties,2,"3,400",70 to 80,700 to 800,Apr-26
SENGKANG GRAND RESIDENCES,COMPASSVALE BOW,19,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
BARTLEY RESIDENCES,LORONG HOW SUN,19,Non-Landed Properties,2,"3,960",70 to 80,700 to 800,Apr-26
