Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,3,"8,600",130 to 140,"1,400 to 1,500",Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,2,"5,000",50 to 60,500 to 600,Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,NA,"3,400",30 to 40,400 to 500,Jun-24
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,1,"4,500",60 to 70,700 to 800,Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,NA,"3,700",30 to 40,400 to 500,Jun-24
DUO RESIDENCES,FRASER STREET,07,Non-Landed Properties,2,"6,800",80 to 90,"900 to 1,000",Jun-24
THE BENCOOLEN,BENCOOLEN STREET,07,Non-Landed Properties,2,"5,500",70 to 80,800 to 900,Jun-24
SOUTHBANK,NORTH BRIDGE ROAD,07,Non-Landed Properties,2,"5,000",80 to 90,"900 to 1,000",Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,2,"4,500",50 to 60,500 to 600,Jun-24
SOUTHBANK,NORTH BRIDGE ROAD,07,Non-Landed Properties,1,"3,450",50 to 60,600 to 700,Jun-24
CITY GATE,BEACH ROAD,07,Non-Landed Properties,2,"4,200",50 to 60,500 to 600,Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,1,"4,000",40 to 50,500 to 600,Jun-24
THE M,MIDDLE ROAD,07,Non-Landed Properties,2,"5,700",70 to 80,700 to 800,Jun-24
SULTAN GATE PLACE,SULTAN GATE,07,Non-Landed Properties,NA,"5,400",140 to 150,"1,500 to 1,600",Jun-24
LIANG SEAH PLACE,LIANG SEAH STREET,07,Non-Landed Properties,NA,"3,835",80 to 90,"900 to 1,000",Jun-24
CONCOURSE SKYLINE,BEACH ROAD,07,Non-Landed Properties,1,"4,450",80 to 90,800 to 900,Jun-24
SUNSHINE PLAZA,PRINSEP LINK,07,Non-Landed Properties,1,"3,300",50 to 60,600 to 700,Jun-24
