project_name,district,region,beds,baths,price,psf,sqft,mmr,score_1000,scored_at,tenure,built_year,floor_level,facing,mrt_info,total_units,first_seen,last_seen,times_seen,last_price_change,price_trend,lowest_price,drop_from_peak_pct,status,url
The Waterina,D14,Balestier / Geylang (D12-14),2,2,2350000,1789.79,1313.0,1516.5,595,2026-06-07,Freehold,2005,,,8 min (680 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-waterina-60180155
The Waterina,D14,Balestier / Geylang (D12-14),2,2,2350000,1788.43,1314.0,1516.8,597,2026-06-07,Freehold,2005,,,8 min (680 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-waterina-21170841
Sanctuary Green,D15,East Coast (D15-16),3,4,2350000,1679.77,1399.0,1504.2,493,2026-06-07,99-year Leasehold,2003,,,3 min (240 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sanctuary-green-500131508
Amber Park,D15,East Coast (D15-16),2,2,2350000,2834.74,829.0,1507.9,524,2026-06-07,Freehold,2023,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-park-500157893
Haig Court,D15,East Coast (D15-16),2,2,2350000,2184.01,1076.0,1503.1,484,2026-06-07,Freehold,2004,,,11 min (950 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-haig-court-60201130
Elliot at the East Coast,D15,East Coast (D15-16),2,2,2350000,1455.11,1615.0,1530.8,703,2026-06-07,Freehold,2013,,,8 min (670 m) from TE28 Siglap MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-elliot-at-the-east-coast-24834841
Optima @ Tanah Merah,D16,East Coast (D15-16),3,3,2350000,1804.92,1302.0,1505.4,503,2026-06-07,99-year Leasehold,2012,,,3 min (250 m) from CG Tanah Merah MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-optima-tanah-merah-500045611
Waterfront Key,D16,East Coast (D15-16),3,2,2350000,1915.24,1227.0,1518.7,612,2026-06-07,99-year Leasehold,2012,,,4 min (350 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-key-25093388
Waterfront Key,D16,East Coast (D15-16),3,3,2350000,1948.59,1206.0,1516.1,591,2026-06-07,99-year Leasehold,2012,,,4 min (350 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2350000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-key-500032360
The Tapestry,D18,Changi / Pasir Ris (D17-18),3,3,2338000,1738.29,1345.0,1506.0,508,2026-06-07,99-year Leasehold,2021,,,,,2026-06-07,2026-06-07,1,,new,2338000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-tapestry-24656010
The Glacier,D15,East Coast (D15-16),3,2,2330000,1850.68,1259.0,1500.2,460,2026-06-07,Freehold,2005,,,12 min (1.01 km) from EW7 Eunos MRT Station,,2026-06-07,2026-06-07,1,,new,2330000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-glacier-60183916
Waterfront Key,D16,East Coast (D15-16),3,2,2330000,1916.12,1216.0,1518.6,612,2026-06-07,99-year Leasehold,2012,,,4 min (350 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2330000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-key-500114402
Normanton Park,D05,City & South West (D01-08),3,3,2328888,2138.56,1089.0,1470.8,243,2026-06-07,99-year Leasehold,2023,,,,,2026-06-07,2026-06-07,1,,new,2328888,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-500163064
One Pearl Bank,D03,City & South West (D01-08),2,2,2328000,2771.43,840.0,1477.8,288,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,2328000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-25614245
Fulcrum,D15,East Coast (D15-16),2,2,2320000,2199.05,1055.0,1512.8,565,2026-06-07,Freehold,2016,,,2 min (200 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,2320000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-fulcrum-500141660
Vela Bay,D15,East Coast (D15-16),3,3,2314000,2591.27,893.0,1527.1,676,2026-06-07,99-year Leasehold,2034,,,1 min (100 m) from TE29 Bayshore MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-vela-bay-500107224
Vela Bay,D15,East Coast (D15-16),3,2,2314000,2588.37,894.0,1527.2,677,2026-06-07,99-year Leasehold,2034,,,1 min (100 m) from TE29 Bayshore MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-vela-bay-500164567
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-60209174
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-500007640
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-500021159
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-500066643
⭐️1km to River Valley Pri. Direct access to MRT,D03,,2,2,2314000,3209.43,721.0,1498.0,442,2026-06-07,99-year Leasehold,,,,5 min (420 m) from TE15 Great World MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-1km-to-river-valley-pri-direct-access-to-mrt-60115723
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-60128584
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-500119452
Zyon Grand,D03,City & South West (D01-08),2,2,2314000,3209.43,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2314000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-500022922
Zyon Grand,D03,City & South West (D01-08),2,2,2310000,3203.88,721.0,1506.2,510,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2310000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-60147586
Canne Lodge,D14,Balestier / Geylang (D12-14),3,3,2300000,1526.21,1507.0,1497.8,441,2026-06-07,Freehold,2000,,,6 min (470 m) from EW10 Kallang MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-canne-lodge-25501448
Urban Treasures,D14,Balestier / Geylang (D12-14),3,2,2300000,2272.73,1012.0,1501.4,470,2026-06-07,Freehold,2023,,,10 min (870 m) from DT28 Kaki Bukit MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-urban-treasures-500155104
Grand Dunman,D15,East Coast (D15-16),2,2,2300000,2885.82,797.0,1507.3,519,2026-06-07,99-year Leasehold,2028,,,2 min (200 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-grand-dunman-500134882
Amber Park,D15,East Coast (D15-16),2,2,2300000,3095.56,743.0,1504.4,495,2026-06-07,Freehold,2023,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-park-500141847
Amber Park,D15,East Coast (D15-16),2,2,2300000,3095.56,743.0,1504.4,495,2026-06-07,Freehold,2023,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-park-25060256
Amber Park,D15,East Coast (D15-16),2,2,2300000,3095.56,743.0,1504.4,495,2026-06-07,Freehold,2023,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-amber-park-500160612
Arina East Residences,D15,East Coast (D15-16),2,2,2300000,2671.31,861.0,1513.9,574,2026-06-07,Freehold,2028,,,5 min (440 m) from TE24 Katong Park MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-arina-east-residences-500124935
Coastline Residences,D15,East Coast (D15-16),2,2,2300000,3239.44,710.0,1474.7,267,2026-06-07,Freehold,2022,,,3 min (250 m) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-coastline-residences-60028864
Limau Park,D16,East Coast (D15-16),3,3,2300000,1811.02,1270.0,1421.2,58,2026-06-07,Freehold,1991,,,14 min (1.19 km) from EW4 Tanah Merah MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-limau-park-500130125
The Taipan,D16,East Coast (D15-16),3,2,2300000,1295.05,1776.0,1511.3,552,2026-06-07,Freehold,2003,,,9 min (730 m) from TE28 Siglap MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-taipan-500007011
Affinity At Serangoon,D19,Serangoon / Thomson (D19-20),3,3,2300000,2137.55,1076.0,1492.5,397,2026-06-07,99-year Leasehold,2024,,,11 min (950 m) from CR9 Serangoon North MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-affinity-at-serangoon-24573097
Bliss@Kovan,D19,Serangoon / Thomson (D19-20),2,2,2300000,1303.12,1765.0,1516.8,597,2026-06-07,Freehold,2015,,,7 min (590 m) from NE13 Kovan MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-bliss-kovan-25592005
The Sunnydale,D19,Serangoon / Thomson (D19-20),3,3,2300000,1526.21,1507.0,1493.6,406,2026-06-07,99-year Leasehold,2002,,,6 min (500 m) from CC14 Lorong Chuan MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-sunnydale-500154393
Tanglin View,D03,City & South West (D01-08),3,3,2300000,2015.78,1141.0,1498.9,449,2026-06-07,99-year Leasehold,2002,,,4 min (360 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-tanglin-view-500108107
Alessandrea,D03,City & South West (D01-08),3,2,2300000,2094.72,1098.0,1486.6,352,2026-06-07,Freehold,2003,,,9 min (790 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,2300000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-alessandrea-500098017
Esta Ruby,D14,Balestier / Geylang (D12-14),3,2,2299999,2035.4,1130.0,1495.0,417,2026-06-07,Freehold,2010,,,6 min (530 m) from EW8 Paya Lebar MRT Station,,2026-06-07,2026-06-07,1,,new,2299999,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-esta-ruby-60190105
Village @ Pasir Panjang,D05,City & South West (D01-08),3,2,2299000,1630.5,1410.0,1513.0,567,2026-06-07,Freehold,2016,,,,,2026-06-07,2026-06-07,1,,new,2299000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-village-pasir-panjang-25538099
Botanique at Bartley,D19,Serangoon / Thomson (D19-20),3,2,2298000,2398.75,958.0,1503.5,488,2026-06-07,99-year Leasehold,2019,,,5 min (410 m) from CC12 Bartley MRT Station,,2026-06-03,2026-06-07,2,2026-06-07,dropped,2298000,-0.9,active,https://www.propertyguru.com.sg/listing/for-sale-botanique-at-bartley-500116936
Bloomsbury Residences,D05,City & South West (D01-08),3,2,2292000,2535.4,904.0,1511.0,549,2026-06-07,99-year Leasehold,2029,,,19 min (1.6 km) from EW20 Commonwealth MRT Station,,2026-06-07,2026-06-07,1,,new,2292000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-bloomsbury-residences-60225016
Zyon Grand,D03,City & South West (D01-08),2,2,2291000,3177.53,721.0,1506.6,513,2026-06-07,99-year Leasehold,2030,,,2 min (180 m) from TE16 Havelock MRT Station,,2026-06-07,2026-06-07,1,,new,2291000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-zyon-grand-60190267
"❤️ 3bed dual key, cheap FH, TOP 2025, in the east, fr 19xxpsf ❤️",D14,Balestier / Geylang (D12-14),3,3,2290000,1883.22,1216.0,1529.2,691,2026-06-07,Freehold,2025,,,7 min (610 m) from EW9 Aljunied MRT Station,,2026-06-07,2026-06-07,1,,new,2290000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-3bed-dual-key-cheap-fh-top-2025-in-the-east-fr-19xxpsf-500013505
Grand Dunman,D15,East Coast (D15-16),2,2,2290000,2954.84,775.0,1506.6,513,2026-06-07,99-year Leasehold,2028,,,2 min (170 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,2290000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-grand-dunman-500102607
Grand Dunman,D15,East Coast (D15-16),3,2,2290000,2954.84,775.0,1499.7,456,2026-06-07,99-year Leasehold,2028,,,2 min (170 m) from CC8 Dakota MRT Station,,2026-06-07,2026-06-07,1,,new,2290000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-grand-dunman-500138798
Waterfront Waves,D16,East Coast (D15-16),3,2,2290000,1729.61,1324.0,1530.4,700,2026-06-07,99-year Leasehold,2011,,,5 min (420 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2290000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-waves-500163754
Normanton Park,D05,City & South West (D01-08),3,2,2289999,2106.71,1087.0,1473.3,258,2026-06-07,99-year Leasehold,2023,,,,,2026-06-07,2026-06-07,1,,new,2289999,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-normanton-park-25434996
Waterfront Gold,D16,East Coast (D15-16),3,2,2288888,1882.31,1216.0,1503.0,483,2026-06-07,99-year Leasehold,2014,,,5 min (410 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2288888,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-gold-22183748
Monterey Park Condominium,D05,City & South West (D01-08),3,3,2288888,1832.58,1249.0,1505.1,501,2026-06-07,999-year Leasehold,2006,,,15 min (1.29 km) from JE7 Pandan Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2288888,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-monterey-park-condominium-500028940
Onan Suites,D15,East Coast (D15-16),3,2,2288000,1647.23,1389.0,1504.9,499,2026-06-07,Freehold,2013,,,17 min (1.39 km) from EW7 Eunos MRT Station,,2026-06-07,2026-06-07,1,,new,2288000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-onan-suites-60183066
Sky Eden @ Bedok,D16,East Coast (D15-16),3,2,2288000,2562.15,893.0,1491.0,386,2026-06-07,99-year Leasehold,2025,,,5 min (390 m) from EW5 Bedok MRT Station,,2026-06-07,2026-06-07,1,,new,2288000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sky-eden-bedok-500068330
One Pearl Bank,D03,City & South West (D01-08),2,2,2288000,2565.02,892.0,1487.4,357,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,2288000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-25557210
Botanique at Bartley,D19,Serangoon / Thomson (D19-20),3,2,2280000,2462.2,926.0,1498.9,449,2026-06-07,99-year Leasehold,2019,,,5 min (410 m) from CC12 Bartley MRT Station,,2026-06-03,2026-06-07,2,2026-06-07,dropped,2280000,-0.9,active,https://www.propertyguru.com.sg/listing/for-sale-botanique-at-bartley-500125396
Sanctuary Green,D15,East Coast (D15-16),3,4,2280000,1629.74,1399.0,1505.7,506,2026-06-07,99-year Leasehold,2003,,,3 min (240 m) from TE23 Tanjong Rhu MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sanctuary-green-500077267
Uber 388,D16,East Coast (D15-16),2,2,2280000,1735.16,1314.0,1521.3,633,2026-06-07,Freehold,2015,,,6 min (520 m) from TE29 Bayshore MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-uber-388-25039253
Sky Eden @ Bedok,D16,East Coast (D15-16),3,2,2280000,2553.19,893.0,1491.6,390,2026-06-07,99-year Leasehold,2025,,,5 min (390 m) from EW5 Bedok MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sky-eden-bedok-500105519
Uber 388,D16,East Coast (D15-16),2,2,2280000,1736.48,1313.0,1521.3,632,2026-06-07,Freehold,2015,,,6 min (520 m) from TE29 Bayshore MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-uber-388-23864756
Sunshine Grove,D19,Serangoon / Thomson (D19-20),2,3,2280000,1524.06,1496.0,1505.9,508,2026-06-07,Freehold,2006,,,6 min (500 m) from NE12 Serangoon MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sunshine-grove-500122150
Queens Peak,D03,City & South West (D01-08),3,2,2280000,2714.29,840.0,1481.3,312,2026-06-07,99-year Leasehold,2020,,,1 min (90 m) from EW19 Queenstown MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-queens-peak-60117193
Avenue South Residence,D03,City & South West (D01-08),3,2,2280000,2277.72,1001.0,1500.3,461,2026-06-07,99-year Leasehold,2023,,,15 min (1.25 km) from CC31 Cantonment MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-avenue-south-residence-500145449
One Pearl Bank,D03,City & South West (D01-08),2,2,2280000,2553.19,893.0,1488.0,362,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-500084901
Ascentia Sky,D03,City & South West (D01-08),2,2,2280000,2277.72,1001.0,1509.1,534,2026-06-07,99-year Leasehold,2014,,,4 min (310 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,2280000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ascentia-sky-25264878
The Clearwater,D16,East Coast (D15-16),3,2,2278000,1586.35,1436.0,1502.8,481,2026-06-07,99-year Leasehold,2002,,,4 min (350 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2278000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-clearwater-500136010
ELTA,D05,City & South West (D01-08),2,2,2275000,2819.08,807.0,1502.2,477,2026-06-07,99-year Leasehold,2028,,,12 min (1.02 km) from CR17 Clementi MRT Station,,2026-06-07,2026-06-07,1,,new,2275000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-elta-500035820
The Rochester Residences,D05,City & South West (D01-08),2,2,2270000,1866.78,1216.0,1529.8,696,2026-06-07,99-year Leasehold,2011,,,6 min (510 m) from EW21 Buona Vista MRT Station,,2026-06-07,2026-06-07,1,,new,2270000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-rochester-residences-25605579
Alessandrea,D03,City & South West (D01-08),3,2,2268000,2265.73,1001.0,1475.1,270,2026-06-07,Freehold,2003,,,9 min (790 m) from EW18 Redhill MRT Station,,2026-06-07,2026-06-07,1,,new,2268000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-alessandrea-500098404
Sceneca Residence,D16,East Coast (D15-16),3,2,2260000,2500.0,904.0,1497.8,441,2026-06-07,99-year Leasehold,2026,,,1 min (50 m) from EW4 Tanah Merah MRT Station,,2026-06-07,2026-06-07,1,,new,2260000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sceneca-residence-60156384
One Pearl Bank,D03,City & South West (D01-08),2,2,2258000,2688.1,840.0,1481.6,314,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,2258000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-60199168
The Glacier,D15,East Coast (D15-16),3,3,2250000,1685.39,1335.0,1502.5,480,2026-06-07,Freehold,2005,,,12 min (1.01 km) from EW7 Eunos MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-glacier-500132025
Versilia On Haig,D15,East Coast (D15-16),3,2,2250000,2199.41,1023.0,1499.6,455,2026-06-07,Freehold,2010,,,9 min (770 m) from EW8 Paya Lebar MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-versilia-on-haig-23252949
Sceneca Residence,D16,East Coast (D15-16),3,2,2250000,2488.94,904.0,1498.5,446,2026-06-07,99-year Leasehold,2026,,,1 min (50 m) from EW4 Tanah Merah MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sceneca-residence-500076483
Waterfront Waves,D16,East Coast (D15-16),3,3,2250000,1699.4,1324.0,1532.9,717,2026-06-07,99-year Leasehold,2011,,,5 min (420 m) from DT30 Bedok Reservoir MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-waterfront-waves-500100990
Kent Ridge Hill Residences,D05,City & South West (D01-08),3,3,2250000,2091.08,1076.0,1501.5,471,2026-06-07,99-year Leasehold,2024,,,9 min (730 m) from CC26 Pasir Panjang MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-kent-ridge-hill-residences-60075944
Kent Ridge Hill Residences,D05,City & South West (D01-08),3,3,2250000,2091.08,1076.0,1501.5,471,2026-06-07,99-year Leasehold,2024,,,9 min (730 m) from CC26 Pasir Panjang MRT Station,,2026-06-07,2026-06-07,1,,new,2250000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-kent-ridge-hill-residences-24992932
Sceneca Residence,D16,East Coast (D15-16),3,2,2240000,2477.88,904.0,1499.2,452,2026-06-07,99-year Leasehold,2026,,,1 min (50 m) from EW4 Tanah Merah MRT Station,,2026-06-07,2026-06-07,1,,new,2240000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-sceneca-residence-500137419
One Pearl Bank,D03,City & South West (D01-08),2,2,2238000,2664.29,840.0,1482.7,322,2026-06-07,99-year Leasehold,2024,,,6 min (480 m) from NE3 Outram Park MRT Station,,2026-06-07,2026-06-07,1,,new,2238000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-one-pearl-bank-500053270
The Florence Residences,D19,Serangoon / Thomson (D19-20),3,3,2228000,2250.51,990.0,1505.7,506,2026-06-07,99-year Leasehold,2023,,,11 min (910 m) from CR8 Hougang MRT Station,,2026-06-07,2026-06-07,1,,new,2228000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-florence-residences-500132395
The Landmark,D03,City & South West (D01-08),2,2,2225000,2954.85,753.0,1454.3,156,2026-06-07,99-year Leasehold,2025,,,9 min (760 m) from DT19 Chinatown MRT Station,,2026-06-07,2026-06-07,1,,new,2225000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-the-landmark-60137942
Ardor Residence,D15,East Coast (D15-16),2,2,2224000,2583.04,861.0,1497.5,438,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2224000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-500162197
Ardor Residence,D15,East Coast (D15-16),2,2,2213000,2570.27,861.0,1497.7,439,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2213000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-60218577
Ardor Residence,D15,East Coast (D15-16),2,2,2213000,2570.27,861.0,1497.7,439,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2213000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-60120908
Ardor Residence,D15,East Coast (D15-16),2,2,2213000,2570.27,861.0,1497.7,439,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2213000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-500014315
Ardor Residence,D15,East Coast (D15-16),2,2,2213000,2570.27,861.0,1497.7,439,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2213000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-500162434
Ardor Residence,D15,East Coast (D15-16),2,2,2210000,2566.78,861.0,1497.9,441,2026-06-07,Freehold,2026,,,13 min (1.09 km) from TE25 Tanjong Katong MRT Station,,2026-06-07,2026-06-07,1,,new,2210000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-ardor-residence-500151272
Joo Chiat Apartments,D15,East Coast (D15-16),3,2,2210000,1547.62,1428.0,1488.4,365,2026-06-07,Freehold,1963,,,6 min (500 m) from TE26 Marine Parade MRT Station,,2026-06-07,2026-06-07,1,,new,2210000,0.0,active,https://www.propertyguru.com.sg/listing/for-sale-joo-chiat-apartments-500157127
