Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
THE TENNERY,WOODLANDS ROAD,23,Non-Landed Properties,1,"3,000",50 to 60,600 to 700,Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,850",40 to 50,400 to 500,Apr-26
THE HILLIER,HILLVIEW RISE,23,Non-Landed Properties,1,"3,200",50 to 60,600 to 700,Apr-26
MAYSPRINGS,PETIR ROAD,23,Non-Landed Properties,2,"3,100",70 to 80,800 to 900,Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,3,"4,300",100 to 110,"1,100 to 1,200",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,900",40 to 50,400 to 500,Apr-26
NORTHVALE,CHOA CHU KANG LOOP,23,Non-Landed Properties,3,"4,300",120 to 130,"1,300 to 1,400",Apr-26
HILLION RESIDENCES,JELEBU ROAD,23,Non-Landed Properties,NA,"2,800",40 to 50,400 to 500,Apr-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,1,"3,000",40 to 50,500 to 600,Apr-26
NATURA@HILLVIEW,HILLVIEW TERRACE,23,Non-Landed Properties,2,"2,900",40 to 50,500 to 600,Apr-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,900",80 to 90,"900 to 1,000",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,1,"2,950",40 to 50,400 to 500,Apr-26
HILLBROOKS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,400",100 to 110,"1,000 to 1,100",Apr-26
PARK NATURA,BUKIT BATOK EAST AVENUE 6,23,Non-Landed Properties,2,"4,000",90 to 100,"1,000 to 1,100",Apr-26
THE LINEAR,UPPER BUKIT TIMAH ROAD,23,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Apr-26
HAZEL PARK CONDOMINIUM,HAZEL PARK TERRACE,23,Non-Landed Properties,3,"4,150",120 to 130,"1,300 to 1,400",Apr-26
THE BOTANY AT DAIRY FARM,DAIRY FARM WALK,23,Non-Landed Properties,3,"4,700",90 to 100,"1,000 to 1,100",Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,3,"4,100",110 to 120,"1,100 to 1,200",Apr-26
MONT BOTANIK RESIDENCE,JALAN REMAJA,23,Non-Landed Properties,2,"3,000",60 to 70,600 to 700,Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,3,"5,800",100 to 110,"1,100 to 1,200",Apr-26
THE LANAI,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",80 to 90,"900 to 1,000",Apr-26
HILLVIEW REGENCY,BUKIT BATOK EAST AVENUE 2,23,Non-Landed Properties,2,"3,350",80 to 90,"900 to 1,000",Apr-26
MI CASA,CHOA CHU KANG AVENUE 3,23,Non-Landed Properties,3,"4,350",120 to 130,"1,200 to 1,300",Apr-26
DAIRY FARM RESIDENCES,DAIRY FARM LANE,23,Non-Landed Properties,2,"3,600",60 to 70,700 to 800,Apr-26
HILLVIEW HEIGHTS,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,650",90 to 100,"900 to 1,000",Apr-26
THE DAIRY FARM,DAIRY FARM ROAD,23,Non-Landed Properties,2,"2,575",100 to 110,"1,100 to 1,200",Apr-26
REGENT HEIGHTS,BUKIT BATOK EAST AVENUE 5,23,Non-Landed Properties,2,"4,500",90 to 100,"1,000 to 1,100",Apr-26
YEWTEE RESIDENCES,CHOA CHU KANG NORTH 6,23,Non-Landed Properties,3,"4,200",110 to 120,"1,100 to 1,200",Apr-26
MIDWOOD,HILLVIEW RISE,23,Non-Landed Properties,1,"2,900",40 to 50,400 to 500,Apr-26
GLENDALE PARK,HILLVIEW AVENUE,23,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Apr-26
FORESQUE RESIDENCES,PETIR ROAD,23,Non-Landed Properties,2,"3,300",60 to 70,600 to 700,Apr-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,3,"3,800",110 to 120,"1,200 to 1,300",Apr-26
THE WARREN,CHOA CHU KANG LOOP,23,Non-Landed Properties,2,"3,800",110 to 120,"1,100 to 1,200",Apr-26
MERAWOODS,HILLVIEW AVENUE,23,Non-Landed Properties,3,"4,350",130 to 140,"1,400 to 1,500",Apr-26
GUILIN VIEW,BUKIT BATOK STREET 52,23,Non-Landed Properties,3,"4,460",110 to 120,"1,200 to 1,300",Apr-26
THE WARREN,CHOA CHU KANG LOOP,23,Non-Landed Properties,4,"5,500",130 to 140,"1,400 to 1,500",Apr-26
