Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,2,"3,300",70 to 80,800 to 900,Jun-24
MURANO,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Jun-24
THE SORRENTO,WEST COAST ROAD,05,Non-Landed Properties,1,"3,200",40 to 50,400 to 500,Jun-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Jun-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Jun-24
CLAVON,CLEMENTI AVENUE 1,05,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Jun-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Jun-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,100",110 to 120,"1,200 to 1,300",Jun-24
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"3,500",50 to 60,600 to 700,Jun-24
THE FOLIAGE,PASIR PANJANG ROAD,05,Non-Landed Properties,1,"2,900",40 to 50,500 to 600,Jun-24
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"5,000",110 to 120,"1,200 to 1,300",Jun-24
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,000",90 to 100,"900 to 1,000",Jun-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jun-24
TWIN VEW,WEST COAST VALE,05,Non-Landed Properties,1,"3,150",40 to 50,400 to 500,Jun-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,1,"3,000",40 to 50,400 to 500,Jun-24
BIJOU,JALAN MAT JAMBOL,05,Non-Landed Properties,1,"3,600",50 to 60,500 to 600,Jun-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,150",40 to 50,400 to 500,Jun-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"3,900",60 to 70,600 to 700,Jun-24
VIVA VISTA,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,500",60 to 70,600 to 700,Jun-24
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jun-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,1,"3,300",40 to 50,500 to 600,Jun-24
PARC IMPERIAL,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"3,100",30 to 40,300 to 400,Jun-24
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"5,800",120 to 130,"1,200 to 1,300",Jun-24
PARC CLEMATIS,JALAN LEMPENG,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Jun-24
THE SPECTRUM,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,800",90 to 100,"1,000 to 1,100",Jun-24
NORMANTON PARK,NORMANTON PARK,05,Non-Landed Properties,2,"4,200",60 to 70,600 to 700,Jun-24
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,2,"4,100",90 to 100,"900 to 1,000",Jun-24
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,800",110 to 120,"1,200 to 1,300",Jun-24
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,NA,"3,500",40 to 50,500 to 600,Jun-24
THE INFINITI,WEST COAST PARK,05,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Jun-24
